Name,url,Active,Years Played,Position,Clubs Played,IOC
Claudiu Belu-Iordache,/en/players/ba9da7e3/Claudiu-Belu-Iordache,True,2012-2024,DF,"Politehnica Iași, Astra Giurgiu, Poli Timișoara, Rapid București, FC Sibiu, Concordia Chiajna, Volun",ROU
Alexandru Benga,/en/players/f02235b3/Alexandru-Benga,True,2011-2024,"DF,MF","UTA Arad, Petrolul Ploiești, Chindia Târgoviște, Septemvri Sofia, Oțelul Galați, Juventus București,",ROU
Denis Benga,/en/players/c9726fb2/Denis-Benga,True,2021-2024,DF,CS Universitatea Craiova,ROU
Romario Benzar,/en/players/2e3596d1/Romario-Benzar,True,2012-2024,"DF,MF","Botoșani, Viitorul Constanța, FCSB, Romania, UTA Arad, Farul Constanța, Lecce, Perugia",ROU
Ovidiu Bic,/en/players/b627ed26/Ovidiu-Bic,True,2016-2024,MF,"Universitatea Cluj, Gaz Metan Mediaș, Universitatea Craiova, Chindia Târgoviște",ROU
Ionuț Biceanu,/en/players/f5d1987a/Ionut-Biceanu,True,2017-2024,MF,"FC Sibiu, Astra Giurgiu",ROU
Eric Bicfalvi,/en/players/26d8b002/Eric-Bicfalvi,True,2006-2024,"FW,MF","Ural Yekaterinburg, Steaua București, Volyn Lutsk, Gloria Buzău, Jiul Petroșani, Tom Tomsk, Liaoning",ROU
Daniel Birligea,/en/players/591462f3/Daniel-Birligea,True,2020-2024,FW,"CFR Cluj, Romania",ROU
Claudia Bistrian,/en/players/03bd3f97/Claudia-Bistrian,True,2019-2025,DF,Romania,ROU
Stefan Blanaru,/en/players/07ab4caf/Stefan-Blanaru,True,2018-2023,FW,"FC Sibiu, Mioveni",ROU
Vladislav Blanuta,/en/players/57fdfae8/Vladislav-Blanuta,True,2020-2024,FW,FC U Craiova,ROU
Andrei Blejdea,/en/players/961cada1/Andrei-Blejdea,True,2020-2021,FW,"Argeș Pitești, Dinamo București",ROU
Alexandru Blidar,/en/players/651c2b0c/Alexandru-Blidar,True,2021-2024,MF,FC U Craiova,ROU
Radu Boboc,/en/players/eb0955c5/Radu-Boboc,True,2015-2024,"DF,MF","Voluntari, Viitorul Constanța, Farul Constanța, FCSB",ROU
Stefan Bodisteanu,/en/players/2e028276/Stefan-Bodisteanu,True,2019-2024,FW,"Oțelul Galați, Viitorul Constanța",ROU
David Bogdan Ciubăncan,/en/players/723e5965/David-Bogdan-Ciubancan,True,2023-2024,FW,CFR Cluj,ROU
Deian Boldor,/en/players/9b7533de/Deian-Boldor,True,2014-2023,DF,"Chindia Târgoviște, Argeș Pitești, Hellas Verona, Foggia, Montreal Impact, Virtus Lanciano",ROU
Daniel Boloca,/en/players/85f7ed25/Daniel-Boloca,True,2020-2024,MF,"Sassuolo, Frosinone",ROU
Gabriele Boloca,/en/players/36e88056/Gabriele-Boloca,True,2019-2024,DF,Ternana,ROU
Alexandru Borbei,/en/players/37b48a61/Alexandru-Borbei,True,2020-2024,GK,Lecce,ROU
Ioan Borcea,/en/players/9046f4c3/Ioan-Borcea,True,2019-2024,MF,Dinamo București,ROU
Mihai Bordeianu,/en/players/0fd37a3d/Mihai-Bordeianu,True,2014-2024,MF,"Politehnica Iași, Universitatea Cluj, CFR Cluj, Botoșani, Al-Qadsiah, Romania",ROU
Denis Bordun,/en/players/dd7a9b73/Denis-Bordun,True,2023-2024,MF,Oțelul Galați,ROU
Antonio Bordusanu,/en/players/c8cd2160/Antonio-Bordusanu,True,2020-2024,MF,Dinamo București,ROU
Adina Borodi,/en/players/9f694bb3/Adina-Borodi,True,2022-2025,FW,Romania,ROU
Florin Borta,/en/players/4e3fcec1/Florin-Borta,True,2018-2024,MF,"CS Universitatea Craiova, Petrolul Ploiești",ROU
Ioana Bortan,/en/players/501f3937/Ioana-Bortan,True,2017-2025,MF,Romania,ROU
Andrei Borza,/en/players/dbde8f74/Andrei-Borza,True,2021-2024,DF,"Rapid București, Romania, Farul Constanța",ROU
Alexandru Bota,/en/players/ba759bcc/Alexandru-Bota,True,2022-2023,MF,,ROU
Cristina Botojel,/en/players/146625ab/Cristina-Botojel,True,2022-2024,DF,"Fortuna Hjørring, Romania",ROU
Antonia Bratu,/en/players/03356874/Antonia-Bratu,True,2020-2025,DF,Romania,ROU
Mario Bratu,/en/players/d729f58f/Mario-Bratu,True,2022-2024,MF,Petrolul Ploiești,ROU
Marius Briceag,/en/players/d6fdf286/Marius-Briceag,True,2014-2024,"DF,MF","Korona Kielce, Universitatea Craiova, Voluntari, Universitatea Cluj, FCSB",ROU
Adrian Briciu,/en/players/f74c7412/Adrian-Briciu,True,2023-2024,GK,Rapid București,ROU
Raul Bucur,/en/players/5c3dc27c/Raul-Bucur,True,2022-2024,FW,Petrolul Ploiești,ROU
Cosmin Bucuroiu,/en/players/c5b64188/Cosmin-Bucuroiu,True,2022-2024,FW,FC Sibiu,ROU
Constantin Budescu,/en/players/2196d7d2/Constantin-Budescu,True,2010-2024,"FW,MF","Farul Constanța, Petrolul Ploiești, Astra Ploiești, FCSB, Al-Shabab, Romania, Damac, Voluntari",ROU
Claudiu Bumba,/en/players/9be448c0/Claudiu-Bumba,True,2011-2023,MF,"Kisvárda, Târgu Mureș, Concordia Chiajna, Dinamo București, Fehérvár",ROU
Andrei Burcă,/en/players/c83623e2/Andrei-Burca,True,2016-2024,DF,"Al Okhdood SC, Romania, CFR Cluj, Botoșani",ROU
Ionuț Burnea,/en/players/8e69ad06/Ionut-Burnea,True,2021-2023,DF,Mioveni,ROU
Rareș-Cătălin Burnete,/en/players/7c4b4e36/Rares-Catalin-Burnete,True,2023-2024,FW,Lecce,ROU
Sergiu Buș,/en/players/f7c30613/Sergiu-Bus,True,2009-2024,FW,"Politehnica Iași, Levski Sofia, CFR Cluj, Gaz Metan Mediaș, Corona Brașov, Târgu Mureș, CSKA Sofia,",ROU
Gabriel Buta,/en/players/76c3e52f/Gabriel-Buta,True,2019-2024,DF,"FC U Craiova, Farul Constanța",ROU
Mihai Butean,/en/players/9df4a7e8/Mihai-Butean,True,2014-2024,"DF,MF","FC Sibiu, Gaz Metan Mediaș, Astra Giurgiu, Chindia Târgoviște, CFR Cluj",ROU
Alexandru Buzbuchi,/en/players/cb9395ed/Alexandru-Buzbuchi,True,2012-2024,GK,"Farul Constanța, Viitorul Constanța, Gaz Metan Mediaș",ROU
Cătălin Cabuz,/en/players/e950e129/Catalin-Cabuz,True,2014-2024,GK,"FC Sibiu, Chindia Târgoviște, Viitorul Constanța",ROU
Andreas Calcan,/en/players/a484c7ee/Andreas-Calcan,True,2013-2024,"FW,MF","Universitatea Cluj, Cherno More, Argeș Pitești, Dordrecht, Politehnica Iași, Mezőkövesd, Viitorul Co",ROU
Eduard Calin,/en/players/a2a54341/Eduard-Calin,True,2018-2024,MF,Manchego Ciudad Real,ROU
Camora,/en/players/ca033449/Camora,True,2006-2024,"DF,MF","CFR Cluj, Romania, Naval",ROU
Sara Campean,/en/players/4c550109/Sara-Campean,True,2019-2025,GK,,ROU
Mihai Căpățînă,/en/players/c6833991/Mihai-Capatina,True,2015-2024,"DF,MF","CS Universitatea Craiova, Voluntari",ROU
Silviu Capotă,/en/players/aa6ef513/Silviu-Capota,True,2021-2024,FW,"Karlsruher U19, Karlsruher U17",ROU
Andrei Caprescu,/en/players/77fba467/Andrei-Caprescu,True,2022-2023,FW,Mioveni,ROU
Tiberiu Căpușă,/en/players/278d5e27/Tiberiu-Capusa,True,2017-2024,DF,"UTA Arad, Chindia Târgoviște, Viitorul Constanța",ROU
Codrin Cărăușu,/en/players/b8ebaffa/Codrin-Carausu,True,2022-2024,FW,Botoșani,ROU
Nicolae Carnat,/en/players/58df8bfe/Nicolae-Carnat,True,2017-2024,"FW,MF","Voluntari, Farul Constanța, Sepsi Sfântu Gheorghe, Mioveni, Rapid București, CFR Cluj, Dunărea Călăr",ROU
Cristina Carp,/en/players/aeb6bd12/Cristina-Carp,True,2017-2025,FW,"BSC YB Frauen, Romania, Pink Bari, Fortuna Hjørring, Sampdoria",ROU
Carlo Casap,/en/players/27e8294a/Carlo-Casap,True,2014-2024,MF,"Farul Constanța, Botoșani, Viitorul Constanța",ROU
Camelia Ceasar,/en/players/6dbaaf41/Camelia-Ceasar,True,2016-2025,GK,"AS Roma, Romania, Milan",ROU
Daniel Celea,/en/players/e5bed2d4/Daniel-Celea,True,2015-2024,DF,"Botoșani, Chindia Târgoviște, Sepsi Sfântu Gheorghe",ROU
Octavian Cepoi,/en/players/ebbc89d6/Octavian-Cepoi,True,2023-2024,FW,Rapid București,ROU
Ionuț Cercel,/en/players/0d4669d7/Ionut-Cercel,True,2022-2024,MF,Farul Constanța,ROU
Andrei Chindriş,/en/players/1035d300/Andrei-Chindris,True,2016-2023,DF,"Botoșani, UTA Arad",ROU
Alin Chinteș,/en/players/e57014cb/Alin-Chintes,True,2023-2024,DF,Universitatea Cluj,ROU
Alexandru Chipciu,/en/players/c9081f9a/Alexandru-Chipciu,True,2009-2024,"DF,FW","Universitatea Cluj, Steaua București, CFR Cluj, Anderlecht, Brașov, Romania, Sparta Prague",ROU
Vlad Chiricheș,/en/players/c316607a/Vlad-Chiriches,True,2009-2024,DF,"FCSB, Romania, Sassuolo, Napoli, Pandurii Târgu Jiu, Tottenham Hotspur, Cremonese, Internațional Cur",ROU
Aurelian Chițu,/en/players/cf153882/Aurelian-Chitu,True,2012-2024,"FW,MF","FC U Craiova, Viitorul Constanța, Astra Giurgiu, Farul Constanța, Valenciennes, PAS Giannina",ROU
Fabiano Cibi,/en/players/3e9d0c5f/Fabiano-Cibi,True,2021-2023,MF,,ROU
Alexandru Cicâldău,/en/players/cdafb19d/Alexandru-Cicaldau,True,2015-2024,MF,"Romania, Konyaspor, Universitatea Craiova, Galatasaray, Viitorul Constanța",ROU
George Cîmpanu,/en/players/194b45f5/George-Cimpanu,True,2019-2024,MF,"CS Universitatea Craiova, Universitatea Cluj, Botoșani",ROU
Alberto Cimpoeșu,/en/players/a089ac86/Alberto-Cimpoesu,True,2023-2024,GK,CFR Cluj,ROU
Andrei Ciobanu,/en/players/3863ecde/Andrei-Ciobanu,True,2015-2024,MF,"Politehnica Iași, Voluntari, Viitorul Constanța, Farul Constanța, Rapid București",ROU
Denis-Andrei Ciobanu,/en/players/b759be09/Denis-Andrei-Ciobanu,True,2019-2024,MF,"Politehnica Iași, Wuppertaler U17, Arminia Bielefeld U17, Arminia Bielefeld U19",ROU
Marius Ciobanu,/en/players/4c57003d/Marius-Ciobanu,True,2019-2024,MF,"FC U Craiova, FC Academica Clinceni",ROU
Denis Ciobotariu,/en/players/a63c8107/Denis-Ciobotariu,True,2018-2024,DF,"Sepsi Sfântu Gheorghe, Dinamo București, CFR Cluj, Voluntari",ROU
Marius Cioiu,/en/players/e51b84a3/Marius-Cioiu,True,2021-2024,MF,"Botoșani, FC Academica Clinceni, Petrolul Ploiești",ROU
Andrei Ciolacu,/en/players/eabc4538/Andrei-Ciolacu,True,2010-2018,FW,"Târgu Mureș, Rapid București, Juventus București",ROU
Mihaela Ciolacu,/en/players/72356553/Mihaela-Ciolacu,True,2017-2025,MF,Romania,ROU
Cătălin Cîrjan,/en/players/701942fd/Catalin-Cirjan,True,2020-2024,MF,"Rapid București, Arsenal U21, Arsenal U23",ROU
George Cirjan,/en/players/42f24012/George-Cirjan,True,2023-2024,FW,Oțelul Galați,ROU
Kevin Ciubotaru,/en/players/6b01fb6d/Kevin-Ciubotaru,True,2023-2024,DF,FC Sibiu,ROU
Paul Ciupei,/en/players/4b367665/Paul-Ciupei,True,2023-2024,MF,CFR Cluj,ROU
Angelo Cocian,/en/players/66aca403/Angelo-Cocian,True,2023-2024,MF,Voluntari,ROU
Ionuț Cojocaru,/en/players/056e7524/Ionut-Cojocaru,True,2022-2024,FW,"Farul Constanța, Petrolul Ploiești",ROU
Valentin Cojocaru,/en/players/04d9bce8/Valentin-Cojocaru,True,2012-2024,GK,"OH Leuven, Pogoń Szczecin, Viitorul Constanța, Steaua București, Voluntari, SC Dnipro-1",ROU
Florinel Coman,/en/players/a9440c25/Florinel-Coman,True,2014-2024,"FW,MF","FCSB, Romania, Viitorul Constanța",ROU
Daniel Constantin Florea,/en/players/1215c8d1/Daniel-Constantin-Florea,True,2006-2024,FW,"Voluntari, Chindia Târgoviște, Astra Giurgiu, Concordia Chiajna, Farul Constanța",ROU
Mihai Constantinescu,/en/players/b4db954e/Mihai-Constantinescu,True,2023-2024,MF,Petrolul Ploiești,ROU
Marius Corbu,/en/players/4d5fbdde/Marius-Corbu,True,2020-2024,FW,Puskás Akadémia,ROU
Andrei Cordea,/en/players/6775d5d1/Andrei-Cordea,True,2018-2024,"FW,MF","FCSB, Al-Ta'ee, FC Academica Clinceni, FC Sibiu, Romania",ROU
Valentin Costache,/en/players/046f03cc/Valentin-Costache,True,2015-2024,"FW,MF","Rapid București, CFR Cluj, Dinamo București",ROU
Mihai Costea,/en/players/a4542839/Mihai-Costea,True,2007-2021,FW,"Universitatea Craiova, Steaua București, Chindia Târgoviște, Voluntari",ROU
Cristian Costin,/en/players/beca411e/Cristian-Costin,True,2019-2024,"DF,MF","Dinamo București, Voluntari",ROU
Razvan Cret,/en/players/92d6645c/Razvan-Cret,True,2023-2024,DF,Botoșani,ROU
Alexandru Crețu,/en/players/52d320d4/Alexandru-Cretu,True,2012-2024,"DF,MF","CS Universitatea Craiova, Studențesc Iași, Romania, FCSB",ROU
Geani Cretu,/en/players/07946f03/Geani-Cretu,True,2018-2024,MF,"Dinamo București, Argeș Pitești",ROU
Valentin Crețu,/en/players/31e5594c/Valentin-Cretu,True,2008-2024,"DF,MF","FCSB, Gaz Metan Mediaș, Concordia Chiajna, Poli Timișoara, Energie Cottbus, Rapid București",ROU
Iulian Cristea,/en/players/9cc7dd10/Iulian-Cristea,True,2014-2024,"DF,MF","Rapid București, FCSB, Gaz Metan Mediaș, Romania",ROU
Sorin Cucu,/en/players/9c076cab/Sorin-Cucu,True,2012-2023,DF,"Oțelul Galați, Fleury 91, US Granville",ROU
Marian Danciu,/en/players/65a8a5de/Marian-Danciu,True,2020-2024,FW,CS Universitatea Craiova,ROU
Gabriel Danuleasa,/en/players/2d71e9ea/Gabriel-Danuleasa,True,2019-2024,DF,Farul Constanța,ROU
Flavius Dănuț Croitoru,/en/players/801409fe/Flavius-Danut-Croitoru,True,2020-2023,GK,"Argeș Pitești, Mioveni",ROU
Sorin Danut Serban,/en/players/c4b69ea8/Sorin-Danut-Serban,True,2019-2024,DF,"Politehnica Iași, FCSB",ROU
Andrei David,/en/players/4cc58ee5/Andrei-David,True,2023-2024,MF,UTA Arad,ROU
Ciprian Deac,/en/players/ed16a617/Ciprian-Deac,True,2006-2024,"FW,MF","CFR Cluj, Rapid București, Romania, Oțelul Galați, Schalke 04",ROU
Ronaldo Deaconu,/en/players/854a6c62/Ronaldo-Deaconu,True,2016-2024,MF,"Korona Kielce, Farul Constanța, Gaz Metan Mediaș, Concordia Chiajna, Sepsi Sfântu Gheorghe, Târgu Mu",ROU
Alin Demici,/en/players/dfabecce/Alin-Demici,True,2021-2022,DF,,ROU
Victor Dican,/en/players/a7246c42/Victor-Dican,True,2021-2024,"DF,MF",Botoșani,ROU
Andrei Dima,/en/players/f8a09b18/Andrei-Dima,True,2021-2024,FW,"Voluntari, FC Academica Clinceni",ROU
Alexandru Dinoci,/en/players/77477bf7/Alexandru-Dinoci,True,2021-2022,MF,,ROU
Krisztian Dobozi,/en/players/8a15f114/Krisztian-Dobozi,True,2022-2024,DF,Sepsi Sfântu Gheorghe,ROU
Mihai Dobre,/en/players/a1f3f5a0/Mihai-Dobre,True,2017-2024,"FW,MF","Famalicão, Romania, Dijon, Yeovil Town, Bury, Rochdale",ROU
Alin Dobrosavlevici,/en/players/f1ebc029/Alin-Dobrosavlevici,True,2013-2023,DF,"Dunărea Călărași, Argeș Pitești, Viitorul Constanța, Târgu Mureș, Concordia Chiajna, Farul Constanța",ROU
Iustin Doicaru,/en/players/3ed86330/Iustin-Doicaru,True,2023-2024,FW,Farul Constanța,ROU
Virgil Drăghia,/en/players/b20d5f0e/Virgil-Draghia,True,2011-2024,GK,"Rapid București, Juventus București, Voluntari, Concordia Chiajna",ROU
Robert Drăghici,/en/players/7e6951ac/Robert-Draghici,True,2023-2024,DF,Augsburg U17,ROU
George Dragomir,/en/players/1091e38c/George-Dragomir,True,2019-2024,FW,"Botoșani, Sepsi Sfântu Gheorghe",ROU
Adrian Dragos,/en/players/48231a91/Adrian-Dragos,True,2023-2024,FW,UTA Arad,ROU
Andrei Dragu,/en/players/d7db52cc/Andrei-Dragu,True,2021-2024,MF,"Botoșani, FC U Craiova",ROU
