Name,url,Active,Years Played,Position,Clubs Played,IOC
David Fadairo,/en/players/534adb99/David-Fadairo,True,2023-2024,MF,Baník Ostrava,SVK
Michal Faško,/en/players/2d11a7a4/Michal-Fasko,True,2017-2022,MF,"Slovan Liberec, Grasshopper, Karviná",SVK
Patrícia Fischerová,/en/players/d3451f1d/Patricia-Fischerova,True,2017-2025,DF,"AIK Fotboll Dam, Slovakia, Kalmar",SVK
Alex Fojtíček,/en/players/94ee860d/Alex-Fojticek,True,2018-2021,GK,Manchester United U23,SVK
Dominik Fótyik,/en/players/0269647c/Dominik-Fotyik,True,2013-2018,DF,"Mezőkövesd, Kecskemét",SVK
Matej Franko,/en/players/55da3e79/Matej-Franko,True,2023-2024,FW,Karviná,SVK
Peter Gál-Andrezly,/en/players/e9980aa4/Peter-Gal-Andrezly,True,2013-2021,MF,"Sepsi Sfântu Gheorghe, Znojmo",SVK
Martin Gamboš,/en/players/4dc6d767/Martin-Gambos,True,2016-2023,MF,"Västerås, 1860 Munich U19, Viktoria Berlin",SVK
Martina Geletová,/en/players/17e979a0/Martina-Geletova,True,2023-2025,GK,,SVK
Boris Godál,/en/players/86f9fb71/Boris-Godal,True,2012-2023,"DF,MF","Al-Adalah, Zagłębie Lubin, Spartak Trnava",SVK
Adam Goljan,/en/players/08809884/Adam-Goljan,True,2022-2023,FW,,SVK
Miroslav Gono,/en/players/5a0363f4/Miroslav-Gono,True,2022-2023,MF,Wisła Płock,SVK
Ján Greguš,/en/players/7d974435/Jan-Gregus,True,2009-2024,MF,"Houston Dynamo, Baník Ostrava, FC Copenhagen, Minnesota United, Jablonec, Slovakia, San Jose Earthqu",SVK
Dominik Greif,/en/players/30061f53/Dominik-Greif,True,2019-2024,GK,"Mallorca, ŠK Slovan Bratislava, Slovakia",SVK
Lukáš Greššák,/en/players/62f427bb/Lukas-Gressak,True,2018-2023,"DF,MF","Sigma Olomouc, Zagl Sosnowiec, Spartak Trnava",SVK
Jakub Grič,/en/players/c3991f04/Jakub-Gric,True,2017-2023,MF,"České Budějovice, Sandecja Nowy Sącz",SVK
Adam Griger,/en/players/a52b1cbd/Adam-Griger,True,2020-2023,FW,LASK,SVK
Norbert Gyömbér,/en/players/0be276c6/Norbert-Gyomber,True,2013-2024,"DF,MF","Salernitana, Slovakia, Perugia, Bari, Catania, Pescara, Terek Grozny, Roma",SVK
Marek Hamšík,/en/players/e6ad16b2/Marek-Hamsik,True,2004-2024,MF,"Napoli, Slovakia, Brescia, Trabzonspor, Dalian Professional, Göteborg",SVK
Dávid Hancko,/en/players/4fac8f81/David-Hancko,True,2018-2024,DF,"Feyenoord, Slovakia, Sparta Prague, Fiorentina",SVK
Lukáš Haraslín,/en/players/5c397195/Lukas-Haraslin,True,2014-2024,"FW,MF","Sparta Prague, Slovakia, Lechia Gdańsk, Sassuolo",SVK
Samuel Hasa,/en/players/7743149e/Samuel-Hasa,True,2021-2024,DF,"Mainz 05 U19, Mainz 05 U17",SVK
Christián Herc,/en/players/1e00ad1c/Christian-Herc,True,2017-2024,MF,"Slovakia, Grasshopper, Karviná, Wolverhampton Wanderers U23",SVK
Marek Hlinka,/en/players/4c9c078f/Marek-Hlinka,True,2013-2023,MF,"Fastav Zlín, Dukla Prague, Baník Ostrava",SVK
Patrícia Hmírová,/en/players/2fe6b297/Patricia-Hmirova,True,2017-2025,"FW,MF","Sporting de Huelva, Slovakia",SVK
Dominik Holec,/en/players/332695f4/Dominik-Holec,True,2020-2024,GK,"Karviná, Sparta Prague, Raków Częstochowa",SVK
Matúš Holíček,/en/players/0cfd5fe4/Matus-Holicek,True,2022-2024,MF,Crewe Alexandra,SVK
Dominik Hollý,/en/players/1e97823e/Dominik-Holly,True,2023-2024,MF,"Jablonec, Slovakia",SVK
Jakub Holúbek,/en/players/84381a80/Jakub-Holubek,True,2016-2024,"DF,MF","Piast Gliwice, Slovakia",SVK
Andrea Horváthová,/en/players/85398f5e/Andrea-Horvathova,True,2017-2025,DF,Slovakia,SVK
Adam Hrdina,/en/players/560f4489/Adam-Hrdina,True,2021-2024,GK,ŠK Slovan Bratislava,SVK
David Hrnčár,/en/players/3fd12d14/David-Hrncar,True,2021-2024,FW,"Waasland-Beveren, ŠK Slovan Bratislava",SVK
Jakub Hromada,/en/players/ae3e6d85/Jakub-Hromada,True,2014-2024,MF,"Slavia Prague, Rapid București, Slovan Liberec, Viktoria Plzeň, Slovakia",SVK
Patrik Hrošovský,/en/players/f2d063ec/Patrik-Hrosovsky,True,2013-2024,MF,"Genk, Slovakia, Viktoria Plzeň, Znojmo",SVK
Lukáš Hroššo,/en/players/4fbd092e/Lukas-Hrosso,True,2011-2024,GK,"Cracovia, Slovan Liberec, Zagl Sosnowiec, Dukla Prague, ŠK Slovan Bratislava",SVK
Matúš Hruška,/en/players/af3ecfd5/Matus-Hruska,True,2016-2019,GK,Dukla Prague,SVK
Tomáš Hubočan,/en/players/97b87472/Tomas-Hubocan,True,2008-2022,DF,"Zenit Saint Petersburg, Slovakia, Dynamo Moscow, Trabzonspor, Marseille, AC Omonia",SVK
Dávid Hudák,/en/players/d943511d/David-Hudak,True,2014-2022,DF,"Mezőkövesd, Újpest, ŠK Slovan Bratislava",SVK
Slavomir Huk,/en/players/82d7c96b/Slavomir-Huk,True,2022-2023,GK,Dorking Wanderers FC,SVK
Tomáš Huk,/en/players/02f89311/Tomas-Huk,True,2019-2024,"DF,MF",Piast Gliwice,SVK
Alex Iván,/en/players/f11600aa/Alex-Ivan,True,2023-2024,MF,Karviná,SVK
Dávid Ivan,/en/players/b2e3ce45/David-Ivan,True,2014-2021,MF,"Sampdoria, Bari",SVK
Adam Jakubech,/en/players/e6951f76/Adam-Jakubech,True,2017-2024,GK,"Lille, Kortrijk",SVK
Jakub Jakubov,/en/players/b1047a02/Jakub-Jakubov,True,2019-2023,GK,Chemnitzer,SVK
Lukáš Jánošík,/en/players/5db5997d/Lukas-Janosik,True,2020-2021,MF,České Budějovice,SVK
Erik Jirka,/en/players/f9bd541e/Erik-Jirka,True,2018-2024,"FW,MF","Viktoria Plzeň, Slovakia, Mirandés, Oviedo, Górnik Zabrze, Radnički Niš, Spartak Trnava, Red Star Be",SVK
Miroslav Káčer,/en/players/a01c3135/Miroslav-Kacer,True,2020-2023,MF,Viktoria Plzeň,SVK
Jakub Kadák,/en/players/90b9a8fa/Jakub-Kadak,True,2022-2024,MF,"Luzern, Slovakia",SVK
Andrej Kadlec,/en/players/150a572c/Andrej-Kadlec,True,2018-2024,DF,"Mladá Boleslav, Jagiellonia, MTK Budapest, Spartak Trnava",SVK
Victoria Kaláberová,/en/players/d69240c7/Victoria-Kalaberova,True,2021-2025,MF,,SVK
Adrián Kaprálik,/en/players/104137b6/Adrian-Kapralik,True,2022-2024,FW,Górnik Zabrze,SVK
Matúš Kmeť,/en/players/9a9c7bc6/Matus-Kmet,True,2024,MF,Slovakia,SVK
Mária Korenčiová,/en/players/02a43aec/Maria-Korenciova,True,2017-2025,GK,"FC Como Women, Milan, Slovakia, Freiburg",SVK
Sebastián Kóša,/en/players/950dd6ab/Sebastian-Kosa,True,2023-2024,DF,"FC Spartak Trnava, Slovakia",SVK
Martin Koscelník,/en/players/dd788526/Martin-Koscelnik,True,2018-2024,"DF,MF","NAC Breda, Rapid Wien, Slovan Liberec, Slovakia",SVK
Kristína Košíková,/en/players/d2699715/Kristina-Kosikova,True,2017-2025,MF,"Slavia Prague, Slovakia",SVK
Kristián Koštrna,/en/players/b9294e1b/Kristian-Kostrna,True,2016-2024,DF,"FC Spartak Trnava, Pirin Blagoevgrad, Dinamo București",SVK
Juraj Kotula,/en/players/9a667169/Juraj-Kotula,True,2020-2021,DF,Zbrojovka Brno,SVK
Bence Kovács,/en/players/1d6a6b92/Bence-Kovacs,True,2021-2024,MF,Fehérvár,SVK
Ivan Krajčírik,/en/players/8c2d18ce/Ivan-Krajcirik,True,2023-2024,GK,Widzew Łódź,SVK
Martin Králik,/en/players/91871cf6/Martin-Kralik,True,2020-2024,DF,České Budějovice,SVK
David Krcik,/en/players/06b03efc/David-Krcik,True,2023-2024,DF,Karviná,SVK
Ján Krivák,/en/players/4d368aae/Jan-Krivak,True,2018-2020,DF,Karviná,SVK
Richard Krizan,/en/players/1e599267/Richard-Krizan,True,2018-2024,DF,ŠK Slovan Bratislava,SVK
Dominik Kružliak,/en/players/c8d00674/Dominik-Kruzliak,True,2023-2024,DF,Volos N.F.C.,SVK
Dominika Kucharčíková,/en/players/d5d0201a/Dominika-Kucharcikova,True,2023,MF,,SVK
Dušan Kuciak,/en/players/c78c8c27/Dusan-Kuciak,True,2008-2024,GK,"Raków Częstochowa, Lechia Gdańsk, Legia Warszawa, Vaslui, Slovakia",SVK
Juraj Kucka,/en/players/5aaef9ef/Juraj-Kucka,True,2009-2024,MF,"Slovakia, ŠK Slovan Bratislava, Genoa, Parma, Milan, Sparta Prague, Trabzonspor, Watford",SVK
Marek Kuzma,/en/players/27ce47a6/Marek-Kuzma,True,2011-2018,FW,"Cherno More, Slovácko",SVK
Milan Kvocera,/en/players/d2f4a3c5/Milan-Kvocera,True,2022-2023,FW,Wisła Płock,SVK
Matúš Lacko,/en/players/59ba22e5/Matus-Lacko,True,2013-2017,MF,"Zbrojovka Brno, Znojmo",SVK
Miloš Lačný,/en/players/b956dfbc/Milos-Lacny,True,2009-2020,FW,"Sparta Prague, AmaZulu, Dundee United, Śląsk Wrocław, ŠK Slovan Bratislava",SVK
Nils Laubinger,/en/players/e6954845/Nils-Laubinger,True,2022-2024,FW,Verl U19,SVK
Patrik Le Giang,/en/players/2c162444/Patrik-Le-Giang,True,2017-2022,GK,"Bohemians 1905, Karviná",SVK
Diana Lemešová,/en/players/09386dec/Diana-Lemesova,True,2020-2025,DF,"St. Pölten, Wacker Innsbruck, SKV Altenmarkt, Slovakia",SVK
Filip Lesniak,/en/players/5348fe7c/Filip-Lesniak,True,2016-2023,MF,"Wisła Płock, Aalborg, Silkeborg, Tottenham Hotspur U23",SVK
Lukáš Letenay,/en/players/37e0012a/Lukas-Letenay,True,2023-2024,FW,Slovan Liberec,SVK
Filip Lichý,/en/players/35f18af0/Filip-Lichy,True,2021-2024,MF,ŠK Slovan Bratislava,SVK
Stanislav Lobotka,/en/players/e1cbb531/Stanislav-Lobotka,True,2013-2024,MF,"Napoli, Slovakia, Celta Vigo, Nordsjælland, Jong Ajax",SVK
Richard Ludha,/en/players/1a4a975e/Richard-Ludha,True,2023-2024,GK,Teplice,SVK
Patrik Lukáč,/en/players/ce1cd23c/Patrik-Lukac,True,2014-2015,GK,,SVK
Matúš Macík,/en/players/8dbc9495/Matus-Macik,True,2020-2024,GK,Sigma Olomouc,SVK
Matej Madleňák,/en/players/59cff6a1/Matej-Madlenak,True,2023-2024,FW,"Baník Ostrava, České Budějovice",SVK
