Name,url,Active,Years Played,Position,Clubs Played,IOC
Marek Červenka,/en/players/76883ce6/Marek-Cervenka,True,2012-2023,FW,"Teplice, Baník Ostrava, Slavia Prague, FK Pardubice",CZE
Matěj Chaluš,/en/players/254b831b/Matej-Chalus,True,2015-2024,DF,"Slovan Liberec, Příbram, Mladá Boleslav, Malmö, Groningen",CZE
Martin Chlumecký,/en/players/3028e991/Martin-Chlumecky,True,2016-2024,DF,"FK Pardubice, Teplice, Dukla Prague, Baník Ostrava",CZE
Tomáš Chorý,/en/players/163bbd4a/Tomas-Chory,True,2013-2024,FW,"Viktoria Plzeň, Czechia, Sigma Olomouc, Zulte Waregem",CZE
Jan Chramosta,/en/players/fad3e13e/Jan-Chramosta,True,2009-2024,FW,"Jablonec, Mladá Boleslav, Bohemians 1905, Viktoria Plzeň",CZE
Ondřej Chvěja,/en/players/4116335a/Ondrej-Chveja,True,2020-2023,MF,"Karviná, Baník Ostrava",CZE
Šimon Chwaszcz,/en/players/2b9b0c63/Simon-Chwaszcz,True,2016-2022,MF,Fastav Zlín,CZE
Mojmir Chytil,/en/players/01a08323/Mojmir-Chytil,True,2018-2024,FW,"Slavia Prague, Czechia, Sigma Olomouc, FK Pardubice",CZE
Filip Čihák,/en/players/53ee75b8/Filip-Cihak,True,2017-2024,DF,"Hradec Králové, FK Pardubice",CZE
Jiří Ciupa,/en/players/e87eeeaa/Jiri-Ciupa,True,2017-2024,GK,Karviná,CZE
Lumír Číž,/en/players/8c53d4ac/Lumir-Ciz,True,2019-2020,GK,,CZE
Ondrej Coudek,/en/players/0aa87209/Ondrej-Coudek,True,2021-2024,DF,České Budějovice,CZE
Vladimír Coufal,/en/players/fdf3cb77/Vladimir-Coufal,True,2012-2024,"DF,MF","West Ham United, Czechia, Slovan Liberec, Slavia Praha",CZE
Tomáš Čvančara,/en/players/298c8aa1/Tomas-Cvancara,True,2017-2024,FW,"Mönchengladbach, Czechia, Sparta Prague, Jablonec, Opava",CZE
Klára Cvrčková,/en/players/7037f624/Klara-Cvrckova,True,2019-2023,FW,Czechia,CZE
Kryštof Daněk,/en/players/6b07e743/Krystof-Danek,True,2019-2024,MF,"Sparta Prague, FK Pardubice, Sigma Olomouc",CZE
Vlastimil Daníček,/en/players/57735db1/Vlastimil-Danicek,True,2010-2024,"DF,MF",Slovácko,CZE
Erik Daniel,/en/players/9763a91c/Erik-Daniel,True,2012-2024,"FW,MF","FC Spartak Trnava, Zagłębie Lubin, ŠK Slovan Bratislava",CZE
Vladimír Darida,/en/players/3eb0f2df/Vladimir-Darida,True,2009-2024,MF,"Aris, Hertha BSC, Viktoria Plzeň, Czechia, Freiburg",CZE
Denis Darmovzal,/en/players/14787968/Denis-Darmovzal,True,2019-2024,MF,"FK Pardubice, Opava, Mladá Boleslav",CZE
Aneta Dědinová,/en/players/8132b87a/Aneta-Dedinova,True,2016-2025,MF,"Czechia, Slavia Prague",CZE
Josef Divíšek,/en/players/b32c5274/Josef-Divisek,True,2010-2023,MF,"Příbram, Slovácko, Zbrojovka Brno",CZE
Petra Divišová,/en/players/bdf6e001/Petra-Divisova,True,2016-2024,"FW,MF","Slavia Prague, Czechia",CZE
Anna Dlasková,/en/players/c2159329/Anna-Dlaskova,True,2016-2023,DF,"Czechia, Sparta Prague",CZE
Martin Doležal,/en/players/706722a8/Martin-Dolezal,True,2015-2024,FW,"Karviná, Jablonec, Zagłębie Lubin, Czechia",CZE
Denis Donat,/en/players/140685dd/Denis-Donat,True,2021-2024,DF,"FK Pardubice, Mladá Boleslav, Hradec Králové",CZE
Jakub Dostál,/en/players/45f807a6/Jakub-Dostal,True,2016-2017,GK,,CZE
Martin Dostál,/en/players/7d49e982/Martin-Dostal,True,2010-2024,"DF,MF","Bohemians 1905, Slavia Prague, Baník Ostrava",CZE
Stanislav Dostál,/en/players/4841ba80/Stanislav-Dostal,True,2015-2024,GK,Fastav Zlín,CZE
David Doudera,/en/players/e95b4604/David-Doudera,True,2017-2024,MF,"Slavia Prague, Czechia, Mladá Boleslav, Dukla Prague",CZE
Václav Drchal,/en/players/56b1933d/Vaclav-Drchal,True,2017-2024,FW,"Jablonec, Sparta Prague, Bohemians 1905, Mladá Boleslav, Dresden",CZE
Lukáš Droppa,/en/players/aa2e2b6a/Lukas-Droppa,True,2011-2024,"DF,MF","Voluntari, Baník Ostrava, Gaz Metan Mediaș, Śląsk Wrocław, Pandurii Târgu Jiu, Tom Tomsk, Czechia",CZE
Kamila Dubcová,/en/players/032e91bd/Kamila-Dubcova,True,2018-2025,MF,"Milan, Czechia, Sassuolo, Slavia Prague",CZE
Václav Dudl,/en/players/67cad359/Vaclav-Dudl,True,2016-2017,MF,Sparta Prague,CZE
Ladislav Dufek,/en/players/ed7a8f58/Ladislav-Dufek,True,2020-2023,MF,,CZE
Adam Dvořák,/en/players/faf1180f/Adam-Dvorak,True,2022-2023,GK,,CZE
Jakub Emmer,/en/players/8a65ecd4/Jakub-Emmer,True,2019-2024,MF,Teplice,CZE
