Name,url,Active,Years Played,Position,Clubs Played,IOC
Tim Civeja,/en/players/59a48c59/Tim-Civeja,True,2020-2024,MF,"Saarbrücken, Ingolstadt, Augsburg",ALB
Enis Çokaj,/en/players/ef03b810/Enis-Cokaj,True,2019-2024,MF,"Panathinaikos, Osijek, Lokomotiva, Albania",ALB
Marvin Cuni,/en/players/1d45fd81/Marvin-Cuni,True,2017-2024,FW,"Frosinone, Saarbrücken, Bayern Munich U19, Bayern Munich U17, Paderborn 07",ALB
Arbenita Curraj,/en/players/8ad5c7bb/Arbenita-Curraj,True,2019-2025,DF,Albania,ALB
Ajdi Dajko,/en/players/4448ae03/Ajdi-Dajko,True,2021-2022,DF,,ALB
Mario Dajsinani,/en/players/7a136bb4/Mario-Dajsinani,True,2022,GK,,ALB
Mirlind Daku,/en/players/a04adf33/Mirlind-Daku,True,2020-2024,FW,"Rubin Kazan, Albania, Osijek, Kosovo",ALB
Matteo Dashi,/en/players/3496557c/Matteo-Dashi,True,2023-2024,MF,Crystal Palace U21,ALB
Leonora Dedgjonaj,/en/players/f9c1b1b3/Leonora-Dedgjonaj,True,2024-2025,MF,Albania,ALB
Eriola Delija,/en/players/ba8561de/Eriola-Delija,True,2024,MF,Albania,ALB
Ardit Deliu,/en/players/4b6d91f3/Ardit-Deliu,True,2015-2022,MF,,ALB
Kastriot Dermaku,/en/players/2990c466/Kastriot-Dermaku,True,2015-2024,DF,"Lecce, Cosenza, Parma, Albania",ALB
Bruno Dita,/en/players/2f94b2a0/Bruno-Dita,True,2017-2018,"DF,MF",KF Skënderbeu Korçë,ALB
Berat Djimsiti,/en/players/6eee05f1/Berat-Djimsiti,True,2011-2024,"DF,MF","Atalanta, Albania, Zürich, Avellino, Benevento",ALB
Armando Dobra,/en/players/74e88421/Armando-Dobra,True,2019-2024,MF,"Chesterfield, Ipswich Town, Colchester United",ALB
Megi Doçi,/en/players/5f64a212/Megi-Doci,True,2017-2025,"FW,MF","Albania, Vllaznia Shkodër",ALB
Albi Doka,/en/players/d05d7a7f/Albi-Doka,True,2020-2024,DF,"Újpest, Gorica, Honvéd, Albania",ALB
Franklin Domi,/en/players/34d68303/Franklin-Domi,True,2022-2023,DF,,ALB
Greis Domi,/en/players/55378e1f/Greis-Domi,True,2017-2024,MF,"ASD Calcio Pomigliano, Albania",ALB
Mergim Fejzullahu,/en/players/00f99df1/Mergim-Fejzullahu,True,2018-2020,FW,Eintracht Braunschweig,ALB
Feta Fetai,/en/players/0706702b/Feta-Fetai,True,2023-2024,MF,Lokomotiva,ALB
Elton Fikaj,/en/players/4734222a/Elton-Fikaj,True,2023-2024,DF,Panathinaikos,ALB
Realdo Fili,/en/players/99731c08/Realdo-Fili,True,2019-2023,"FW,MF","Botoșani, Chornomorets Odesa",ALB
Ezmiralda Franja,/en/players/b133326c/Ezmiralda-Franja,True,2017-2025,"DF,MF","Albania, Vllaznia Shkodër",ALB
Leandro Frroku,/en/players/b867a4cd/Leandro-Frroku,True,2022-2023,MF,,ALB
Klaus Gjasula,/en/players/431c837b/Klaus-Gjasula,True,2014-2024,"DF,MF","Darmstadt 98, Albania, Paderborn 07, Hallescher, Stuttgarter Kickers, Hamburger SV, Kickers Offenbac",ALB
Kévis Gjeci,/en/players/da22efb6/Kevis-Gjeci,True,2023-2024,MF,FC Espaly,ALB
Matilda Gjergji,/en/players/5da84109/Matilda-Gjergji,True,2021-2025,DF,"Albania, Vllaznia Shkodër",ALB
Lucie Gjini,/en/players/a95cc35d/Lucie-Gjini,True,2017-2025,"DF,MF","Albania, Vllaznia Shkodër",ALB
Brayan Gjyla,/en/players/a1c25c8b/Brayan-Gjyla,True,2023-2024,FW,FeralpiSalò,ALB
Eros Grezda,/en/players/6d470bb6/Eros-Grezda,True,2015-2024,"FW,MF","Rudeš, Lokomotiva, Osijek, Rangers, Albania, Šibenik, Zalaegerszeg",ALB
Nazmi Gripshi,/en/players/dbec7cf1/Nazmi-Gripshi,True,2017-2024,MF,KF Ballkani Therandë,ALB
Erdenis Gurishta,/en/players/371bc65d/Erdenis-Gurishta,True,2022-2024,DF,CSKA 1948,ALB
Andi Hadroj,/en/players/4632a551/Andi-Hadroj,True,2022-2024,DF,Albania,ALB
Esin Hakaj,/en/players/198fa954/Esin-Hakaj,True,2022,DF,,ALB
Mimoza Hamidi,/en/players/da567119/Mimoza-Hamidi,True,2019-2025,FW,"Thun Berner-Oberland, Basel, Albania",ALB
Klea Hamonikaj,/en/players/ac650b77/Klea-Hamonikaj,True,2021-2025,MF,,ALB
Edon Hasani,/en/players/109e7aec/Edon-Hasani,True,2012-2018,MF,"Litex Lovech, Sepahan, Poli Timișoara",ALB
Kevin Haveri,/en/players/04c37cf8/Kevin-Haveri,True,2022-2024,MF,Ascoli,ALB
Rubin Hebaj,/en/players/3d9079d9/Rubin-Hebaj,True,2019-2020,FW,Vorskla Poltava,ALB
Alma Hilaj,/en/players/1af16977/Alma-Hilaj,True,2017-2025,MF,"FC Como Women, Albania, Florentia, Orobica Calcio",ALB
Alban Hoxha,/en/players/b441434a/Alban-Hoxha,True,2015-2021,GK,Albania,ALB
Andrea Hoxha,/en/players/ec49a864/Andrea-Hoxha,True,2019-2024,GK,KF Ballkani Therandë,ALB
Arbër Hoxha,/en/players/e210a2c7/Arber-Hoxha,True,2021-2024,MF,"Slaven Belupo, Dinamo Zagreb, Albania, Lokomotiva",ALB
Omar Hoxha,/en/players/babcaa94/Omar-Hoxha,True,2019-2020,DF,,ALB
Erion Hoxhallari,/en/players/6816b9f3/Erion-Hoxhallari,True,2020-2023,DF,"UTA Arad, Albania",ALB
Elseid Hysaj,/en/players/2f3452eb/Elseid-Hysaj,True,2012-2024,DF,"Lazio, Albania, Napoli, Empoli",ALB
Antigona Hyska,/en/players/98249190/Antigona-Hyska,True,2021-2025,GK,Albania,ALB
Omar Imeri,/en/players/f144980e/Omar-Imeri,True,2020-2021,FW,Antalyaspor,ALB
Fisnik Isaki,/en/players/b2c4dbd3/Fisnik-Isaki,True,2022-2023,FW,,ALB
Behar Ismaili,/en/players/72f1090d/Behar-Ismaili,True,2022-2024,MF,RSC Anderlecht U23,ALB
Marsel Ismajlgeci,/en/players/ec7828a8/Marsel-Ismajlgeci,True,2020-2024,DF,KF Ballkani Therandë,ALB
Ardian Ismajli,/en/players/6b635f5c/Ardian-Ismajli,True,2015-2024,DF,"Empoli, Albania, Hajduk Split, Spezia",ALB
Djellza Istrefaj,/en/players/8ccb0914/Djellza-Istrefaj,True,2024,FW,Albania,ALB
Stivian Janku,/en/players/a3f80aa3/Stivian-Janku,True,2022,DF,,ALB
Ahmed Januzi,/en/players/99c27353/Ahmed-Januzi,True,2006-2016,FW,"Vorskla Poltava, Albania",ALB
Artan Jazxhi,/en/players/5aae0cb5/Artan-Jazxhi,True,2022,DF,,ALB
Elvis Kabashi,/en/players/6660de31/Elvis-Kabashi,True,2013-2024,MF,"Reggiana, Como, Den Bosch, Dinamo București",ALB
Maldini Kacurri,/en/players/7be4311f/Maldini-Kacurri,True,2022-2024,DF,Arsenal U21,ALB
Sherif Kallaku,/en/players/18c157cd/Sherif-Kallaku,True,2020-2024,MF,"Sepsi Sfântu Gheorghe, Lokomotiva, Albania",ALB
Marvin Kalushi,/en/players/ad06e3a2/Marvin-Kalushi,True,2023-2024,DF,VfB Waltrop U17,ALB
Erando Karabeci,/en/players/83fe3bad/Erando-Karabeci,True,2014,MF,,ALB
Enio Karepi,/en/players/26c9f5bc/Enio-Karepi,True,2023-2024,MF,Eintracht Braunschweig U19,ALB
Dardan Karimani,/en/players/eb04671f/Dardan-Karimani,True,2016-2017,MF,,ALB
Bernard Karrica,/en/players/37230e79/Bernard-Karrica,True,2021-2024,FW,"KF Ballkani Therandë, Hrvatski Dragovoljac, Rijeka",ALB
Redi Kasa,/en/players/bdb57d27/Redi-Kasa,True,2018-2024,MF,"NK Olimpija Ljubljana, Septemvri Sofia, Tsarsko Selo",ALB
Elhan Kastrati,/en/players/241b5471/Elhan-Kastrati,True,2015-2024,GK,"Cittadella, Albania, Pescara",ALB
Arlinda Kodra,/en/players/1f5ad159/Arlinda-Kodra,True,2022-2023,MF,Vllaznia Shkodër,ALB
Aristidi Kolaj,/en/players/8fe40541/Aristidi-Kolaj,True,2019-2024,FW,"Pescara, US Alessandria Calcio 1912",ALB
Enea Koliçi,/en/players/c54e5db0/Enea-Kolici,True,2018-2024,GK,KF Ballkani Therandë,ALB
Erdis Kraja,/en/players/61d302b3/Erdis-Kraja,True,2023-2024,MF,Ascoli,ALB
Blerim Krasniqi,/en/players/77b02274/Blerim-Krasniqi,True,2022-2023,FW,Mioveni,ALB
Qendresa Krasniqi,/en/players/9afd4411/Qendresa-Krasniqi,True,2017-2025,MF,"Basel, Albania",ALB
Marash Kumbulla,/en/players/a40819d9/Marash-Kumbulla,True,2017-2024,DF,"Roma, Albania, Sassuolo, Hellas Verona",ALB
Arda Kurtulan,/en/players/633acacc/Arda-Kurtulan,True,2021-2023,FW,,ALB
Qazim Laçi,/en/players/eb0db257/Qazim-Laci,True,2015-2024,MF,"Sparta Prague, Albania, Ajaccio, Levadiakos",ALB
Erald Lakti,/en/players/01430687/Erald-Lakti,True,2018-2021,MF,,ALB
Liridon Latifi,/en/players/8f39517f/Liridon-Latifi,True,2015-2021,"FW,MF","Puskás Akadémia, KF Skënderbeu Korçë, Albania",ALB
Charmaine Laurence,/en/players/db365dd7/Charmaine-Laurence,True,2021-2022,MF,VVV-Venlo,ALB
