Name,url,Active,Years Played,Position,Clubs Played,IOC
Jonas Gumilar,/en/players/d9ce3e0a/Jonas-Gumilar,True,2023-2024,MF,Viktoria Köln U17,SVN
Nermin Haljeta,/en/players/6683c179/Nermin-Haljeta,True,2017-2018,MF,,SVN
Neli Hofman,/en/players/64da6c36/Neli-Hofman,True,2020-2021,MF,,SVN
Tomi Horvat,/en/players/62de9d42/Tomi-Horvat,True,2021-2024,"FW,MF","Sturm Graz, Slovenia, NŠ Mura",SVN
Klemen Hvalič,/en/players/1c2744ba/Klemen-Hvalic,True,2019-2022,GK,,SVN
Mitja Ilenič,/en/players/9694c407/Mitja-Ilenic,True,2023-2024,DF,New York City FC,SVN
Josip Iličić,/en/players/68252d6d/Josip-Ilicic,True,2010-2022,"FW,MF","Atalanta, Fiorentina, Palermo, Slovenia",SVN
Aljaž Ivačič,/en/players/4d6e50d8/Aljaz-Ivacic,True,2018-2024,GK,"New England Revolution, Slovenia, Portland Timbers, Portland Timbers 2",SVN
Vall Janković,/en/players/58062d71/Vall-Jankovic,True,2023-2024,FW,NK Olimpija Ljubljana,SVN
Erik Janža,/en/players/961f9f1c/Erik-Janza,True,2014-2024,"DF,MF","Górnik Zabrze, Slovenia, Osijek, Viktoria Plzeň",SVN
Enej Jelenič,/en/players/f796341a/Enej-Jelenic,True,2010-2022,"FW,MF","Carpi, Livorno, Padova",SVN
Ažbe Jug,/en/players/e47bb609/Azbe-Jug,True,2013-2020,GK,Bordeaux,SVN
Kristjan Jurić,/en/players/a23ccec1/Kristjan-Juric,True,2023-2024,FW,Ingolstadt U17,SVN
Aaron Kačinari,/en/players/70f7fa32/Aaron-Kacinari,True,2024,MF,FC Tulsa,SVN
Haris Kadrić,/en/players/d56703ab/Haris-Kadric,True,2022-2023,FW,"FK Kolubara, Voždovac",SVN
Nina Kajzba,/en/players/cfde6f2e/Nina-Kajzba,True,2020-2025,MF,"Napoli, Slovenia",SVN
Matjaž Kamenšek Pahič,/en/players/e136f209/Matjaz-Kamensek-Pahic,True,2023-2024,MF,Frosinone,SVN
Kevin Kampl,/en/players/b825a650/Kevin-Kampl,True,2010-2024,MF,"RB Leipzig, Red Bull Salzburg, Bayer Leverkusen, Osnabrück, Slovenia, Borussia Dortmund, Aalen",SVN
Žan Karničnik,/en/players/b11b006c/Zan-Karnicnik,True,2021-2024,DF,"Slovenia, Ludogorets Razgrad, NŠ Mura",SVN
Mirjam Kastelec,/en/players/e73e730e/Mirjam-Kastelec,True,2022-2025,MF,Slovenia,SVN
Sara Ketiš,/en/players/8522b226/Sara-Ketis,True,2017-2025,MF,Pink Bari,SVN
Rok Kidrič,/en/players/ec4b0336/Rok-Kidric,True,2023-2024,FW,Puszcza Niepołomice,SVN
Luka Koblar,/en/players/01bdf4ad/Luka-Koblar,True,2021-2022,DF,,SVN
Omar Kocar,/en/players/4910cd5e/Omar-Kocar,True,2020-2021,MF,Mačva Šabac,SVN
Iva Kocijan,/en/players/df53d314/Iva-Kocijan,True,2020-2022,GK,,SVN
Špela Kolbl,/en/players/3525d262/Spela-Kolbl,True,2017-2025,MF,Slovenia,SVN
Žan Kolmanič,/en/players/4501fd21/Zan-Kolmanic,True,2021-2024,DF,Austin FC,SVN
Jan Koprivec,/en/players/884e77f9/Jan-Koprivec,True,2008-2020,GK,"Perugia, Gallipoli, Kilmarnock",SVN
Kaja Korošec,/en/players/06af1528/Kaja-Korosec,True,2019-2025,MF,"Paris FC, Slovenia",SVN
Uroš Korun,/en/players/fec4abdd/Uros-Korun,True,2015-2021,DF,Piast Gliwice,SVN
Evelina Kos,/en/players/9ed9b0a4/Evelina-Kos,True,2017-2023,DF,Slovenia,SVN
Lucija Kos,/en/players/4fa9622c/Lucija-Kos,True,2017,MF,Slovenia,SVN
Žiga Kous,/en/players/4f203d96/Ziga-Kous,True,2021-2022,DF,NŠ Mura,SVN
Nino Kouter,/en/players/dd895e9b/Nino-Kouter,True,2020-2022,DF,Slovenia,SVN
Luka Krajnc,/en/players/2b71b88a/Luka-Krajnc,True,2012-2024,DF,"Catanzaro, Frosinone, Cesena, Hannover 96, Cagliari, Düsseldorf, Slovenia, Genoa",SVN
Martin Kramarič,/en/players/2c6e72bf/Martin-Kramaric,True,2017-2024,MF,"PFC Sochi, NK Maribor",SVN
Blaž Kramer,/en/players/32523fce/Blaz-Kramer,True,2019-2024,FW,"Legia Warsaw, Zürich, Slovenia",SVN
Zara Kramžar,/en/players/09dae0e3/Zara-Kramzar,True,2022-2024,MF,AS Roma,SVN
Aljaž Krefl,/en/players/c236640f/Aljaz-Krefl,True,2016-2024,DF,"NK Olimpija Ljubljana, Spartak Subotica",SVN
Izabel Križaj,/en/players/1b06af60/Izabel-Krizaj,True,2019-2025,MF,Slovenia,SVN
Mitja Križan,/en/players/3b25c23b/Mitja-Krizan,True,2019-2021,FW,Lommel SK,SVN
Egzon Kryeziu,/en/players/7e09fd62/Egzon-Kryeziu,True,2019-2022,MF,Lechia Gdańsk,SVN
Robert Kurež,/en/players/09508216/Robert-Kurez,True,2014-2015,FW,,SVN
Jasmin Kurtić,/en/players/144607cc/Jasmin-Kurtic,True,2010-2024,MF,"Slovenia, CS Universitatea Craiova, FC Südtirol, Atalanta, SPAL, Parma, PAOK, Varese, Palermo, Fiore",SVN
Zala Kuštrin,/en/players/3f3f5f25/Zala-Kustrin,True,2019-2025,MF,Slovenia,SVN
Srđan Kuzmić,/en/players/bac99ae7/Srdjan-Kuzmic,True,2023-2024,DF,Viborg,SVN
Korina Lara Janež,/en/players/6acbeec8/Korina-Lara-Janez,True,2022-2025,MF,"RB Leipzig, Slovenia",SVN
Žan Leban,/en/players/cd7bf522/Zan-Leban,True,2020-2023,GK,"Everton U21, Everton U23",SVN
Žiga Lipušček,/en/players/6205d041/Ziga-Lipuscek,True,2022-2023,DF,FK Rīgas Futbola skola,SVN
