Name,url,Active,Years Played,Position,Clubs Played,IOC
Vladimir Kovačević,/en/players/00c23b74/Vladimir-Kovacevic,True,2009-2023,DF,"Spartak Subotica, Vojvodina, Kortrijk, FK Mladost Novi Sad, Hajduk Kula",SRB
Damjan Krajišnik,/en/players/c4f26db4/Damjan-Krajisnik,True,2019-2024,MF,"Radnički Kragujevac, FK Železničar Pančevo, Metalac GM, Mladost Lučani",SRB
Ivan Kričak,/en/players/1f490a0c/Ivan-Kricak,True,2015-2024,DF,"Öster, Radnik Surdulica, Mjällby",SRB
Miljan Krpić,/en/players/480d16af/Miljan-Krpic,True,2022-2024,MF,"TSC, Voždovac",SRB
Nemanja Krsmanović,/en/players/055a4f1d/Nemanja-Krsmanovic,True,2020-2024,MF,"Spartak Subotica, Teplice, TSC",SRB
Ognjen Krsmanovic,/en/players/d8c2a4be/Ognjen-Krsmanovic,True,2023-2024,MF,Mladost Lučani,SRB
Anđela Krstić ,/en/players/87b8fd47/Andjela-Krstic,True,2022-2025,DF,Serbia,SRB
Boris Krstić,/en/players/45a7d8c8/Boris-Krstic,True,2023-2024,FW,Spartak Subotica,SRB
Filip Krstić,/en/players/78e462d7/Filip-Krstic,True,2023-2024,MF,Napredak Kruševac,SRB
Nemanja Krstic,/en/players/505019d4/Nemanja-Krstic,True,2017-2023,MF,"Napredak Kruševac, Zlatibor Čajetina",SRB
Nikola Krstic,/en/players/1f9a8947/Nikola-Krstic,True,2023-2024,FW,FK IMT Novi Beograd,SRB
Vukašin Krstić,/en/players/92725c75/Vukasin-Krstic,True,2020-2024,DF,TSC,SRB
Luka Krstović,/en/players/fcca38e4/Luka-Krstovic,True,2023-2024,MF,FK IMT Novi Beograd,SRB
Milos Krunic,/en/players/3c3c40cc/Milos-Krunic,True,2017-2024,GK,"Partizan, Voždovac",SRB
Sanijel Kucani,/en/players/832f5598/Sanijel-Kucani,True,2015-2016,DF,,SRB
Njegoš Kupusović,/en/players/8519a99c/Njegos-Kupusovic,True,2019-2021,FW,"Eintracht Braunschweig, Erzgebirge Aue",SRB
Filip Kusić,/en/players/de1a2530/Filip-Kusic,True,2017-2023,DF,"Türkgücü München, Erzgebirge Aue, Zwickau",SRB
Nikola Kuveljić,/en/players/5add6a3e/Nikola-Kuveljic,True,2019-2024,MF,"TSC, Wisła Kraków, Javor Ivanjica",SRB
Luka Laban,/en/players/bd4ad888/Luka-Laban,True,2020-2024,DF,Napredak Kruševac,SRB
Nikola Lainović,/en/players/83972fa4/Nikola-Lainovic,True,2020-2024,FW,FK Železničar Pančevo,SRB
Ivan Lakićević,/en/players/47508c51/Ivan-Lakicevic,True,2012-2024,DF,"FK Železničar Pančevo, Vojvodina, Donji Srem, Reggina, Venezia",SRB
Zarija Lambulić,/en/players/00f05731/Zarija-Lambulic,True,2018-2024,DF,"FK IMT Novi Beograd, Proleter Novi Sad, Zlatibor Čajetina, Beroe, Mladost Lučani",SRB
Aleksandra Lazarević,/en/players/efeebe33/Aleksandra-Lazarevic,True,2017-2025,DF,Serbia,SRB
Andrija Lazarević,/en/players/48c71975/Andrija-Lazarevic,True,2022-2024,FW,Voždovac,SRB
Milan Lazarević,/en/players/e115be50/Milan-Lazarevic,True,2016-2024,DF,"Vojvodina, Rad",SRB
Marko Lazetić,/en/players/93088fbb/Marko-Lazetic,True,2020-2024,FW,"Fortuna Sittard, Red Star, Rheindorf Altach",SRB
Uroš Lazić,/en/players/eb3112e0/Uros-Lazic,True,2022-2024,DF,"Novi Pazar, České Budějovice, Radnik Surdulica",SRB
Darko Lazović,/en/players/5128bde4/Darko-Lazovic,True,2008-2024,"DF,FW","Hellas Verona, Serbia, Red Star, Genoa, Borac Čačak",SRB
Nikola Leković,/en/players/2b688f3e/Nikola-Lekovic,True,2010-2024,DF,"Mladost Lučani, Rad, Lechia Gdańsk, Napredak Kruševac, Vojvodina, Kerkyra, Partizan",SRB
Stefan Lekovic,/en/players/d633fd46/Stefan-Lekovic,True,2022-2024,DF,"Villarreal B, Red Star, Villarreal",SRB
Stojan Leković,/en/players/e9c6a435/Stojan-Lekovic,True,2020-2024,GK,Radnički Kragujevac,SRB
Darko Lemajić,/en/players/6d207bd8/Darko-Lemajic,True,2010-2023,FW,"Gent, Napredak Kruševac, Inđija",SRB
Adem Ljajić,/en/players/2648e18f/Adem-Ljajic,True,2008-2024,"FW,MF","Novi Pazar, Fatih Karagümrük, Beşiktaş, Fiorentina, Roma, Torino, Partizan, Serbia, Internazionale",SRB
Nemanja Ljubisavljević,/en/players/52efdf0e/Nemanja-Ljubisavljevic,True,2016-2023,DF,"Vojvodina, Gorica, Žalgiris",SRB
Uroš Ljubomirac,/en/players/4fe608e7/Uros-Ljubomirac,True,2022-2024,DF,Napredak Kruševac,SRB
Matija Ljujić,/en/players/a32382d2/Matija-Ljujic,True,2014-2024,MF,"Újpest, Belenenses SAD, Rad, Wellington Phoenix, Gangwon FC",SRB
Vladimir Lučić,/en/players/8c451492/Vladimir-Lucic,True,2022-2024,FW,"Red Star, Čukarički",SRB
Aleksandar Lukić,/en/players/aa0e3b28/Aleksandar-Lukic,True,2023-2024,DF,Voždovac,SRB
Jovan Lukić,/en/players/90268125/Jovan-Lukic,True,2019-2024,MF,"Spartak Subotica, Čukarički",SRB
Nenad Lukić,/en/players/a0e3bd26/Nenad-Lukic,True,2010-2023,MF,"TSC, Honvéd, Donji Srem, Rad, Spartak Subotica, Lokomotiv Plovdiv, Borac Čačak, Changchun Yatai, Rad",SRB
Ognjen Lukić,/en/players/01dd9fb9/Ognjen-Lukic,True,2021-2024,GK,"FK Železničar Pančevo, Radnički Kragujevac",SRB
Saša Lukić,/en/players/c6e8cf1f/Sasa-Lukic,True,2014-2024,MF,"Serbia, Fulham, Torino, Partizan, Levante",SRB
Slavko Lukić,/en/players/12f46704/Slavko-Lukic,True,2009-2021,DF,"Smederevo, Zemun, Novi Pazar",SRB
Stefan Lukic,/en/players/59f55048/Stefan-Lukic,True,2022-2024,MF,"Chattanooga Red Wolves, Northern Colorado Hailstorm",SRB
Viktor Lukić,/en/players/77932c38/Viktor-Lukic,True,2019-2023,MF,Radnik Surdulica,SRB
Andrija Luković,/en/players/7cce7822/Andrija-Lukovic,True,2012-2024,MF,"Radnički Niš, Voždovac, Jong PSV, Rad, Belenenses SAD, Famalicão, Raków Częstochowa, Red Star",SRB
Luka Luković,/en/players/41e39e0a/Luka-Lukovic,True,2013-2024,MF,"FK IMT Novi Beograd, Javor Ivanjica, OFK Bačka, Vojvodina, Čukarički",SRB
Milos Lukovic,/en/players/b1c7a35e/Milos-Lukovic,True,2023-2024,FW,FK IMT Novi Beograd,SRB
Aleksandar Lutovac,/en/players/01464072/Aleksandar-Lutovac,True,2015-2024,FW,"FK IMT Novi Beograd, Rad, Partizan, Ried",SRB
Andrija Majdevac,/en/players/1ede6696/Andrija-Majdevac,True,2014-2024,FW,"Napredak Kruševac, Debrecen, Novi Pazar",SRB
Milan Majstorović,/en/players/45046adf/Milan-Majstorovic,True,2021-2024,DF,Dynamo Moscow,SRB
Milan Makarić,/en/players/e88b0189/Milan-Makaric,True,2014-2023,"FW,MF","Radnik Surdulica, OFK Bačka, Aalborg, Spartak Subotica, Vojvodina, Serbia",SRB
Nemanja Maksimović,/en/players/00b28772/Nemanja-Maksimovic,True,2015-2024,MF,"Getafe, Serbia, Valencia, FC Astana",SRB
Nikola Maksimović,/en/players/16b9d5cf/Nikola-Maksimovic,True,2010-2024,DF,"Hatayspor, Napoli, Torino, Sloboda Užice, Red Star, Serbia, Genoa, Spartak Moscow",SRB
Novica Maksimović,/en/players/8be26306/Novica-Maksimovic,True,2008-2023,MF,"Hajduk Kula, Vojvodina, FK Mladost Novi Sad, Spartak Subotica, Panionios, Sloboda Užice, Pápa",SRB
Stefan Maksimović,/en/players/b73c717f/Stefan-Maksimovic,True,2020-2024,DF,Mladost Lučani,SRB
Filip Malbašić,/en/players/04981123/Filip-Malbasic,True,2010-2024,"FW,MF","Vojvodina, Tenerife, Cádiz, Rad, Partizan, Burgos, Lechia Gdańsk",SRB
Filip Manojlović,/en/players/8d2e1890/Filip-Manojlovic,True,2016-2024,GK,"Spartak Subotica, Red Star, Panionios, OFK Bačka",SRB
Nikola Maraš,/en/players/b9d0446f/Nikola-Maras,True,2012-2024,DF,"Alavés, Levante, Rad, Almería, Chaves, Rayo Vallecano",SRB
Damjan Marčeta,/en/players/30defe47/Damjan-Marceta,True,2012-2023,FW,Donji Srem,SRB
Milan Marčić,/en/players/956988bb/Milan-Marcic,True,2015-2023,MF,"Spartak Subotica, Javor Ivanjica, Borac Čačak, Mladost Lučani",SRB
Ivan Marić,/en/players/af6031e5/Ivan-Maric,True,2023-2024,DF,Aizawl,SRB
Jovan Marinković,/en/players/84c17da7/Jovan-Marinkovic,True,2020-2024,DF,"Napredak Kruševac, Spartak Subotica",SRB
Nikola Marinković,/en/players/c39aaa28/Nikola-Marinkovic,True,2020-2024,FW,Napredak Kruševac,SRB
Stefan Marinković,/en/players/477b73c1/Stefan-Marinkovic,True,2021-2022,GK,,SRB
Saša Marjanović,/en/players/416572e8/Sasa-Marjanovic,True,2008-2024,MF,"Radnički Niš, Napredak Kruševac, Jagodina, Partizan",SRB
Stefan Marjanovic,/en/players/7590e11d/Stefan-Marjanovic,True,2021-2024,DF,"Javor Ivanjica, FK Kolubara, Radnički Niš",SRB
Filip Markišić,/en/players/fd8a564c/Filip-Markisic,True,2023-2024,MF,FK Železničar Pančevo,SRB
Aleksa Marković,/en/players/c1b251ea/Aleksa-Markovic,True,2021-2022,DF,,SRB
Dušan Marković,/en/players/cd670b49/Dusan-Markovic,True,2016-2022,GK,"Rad, Metalac GM",SRB
Lazar Marković,/en/players/723ba189/Lazar-Markovic,True,2011-2024,"FW,MF","Gaziantep FK, Partizan, Benfica, Liverpool, Serbia, Fenerbahçe, Hull City, Sporting CP, Trabzonspor,",SRB
Svetozar Marković,/en/players/bb31def4/Svetozar-Markovic,True,2017-2024,DF,"Partizan, Larissa",SRB
Zoran Marušić,/en/players/a7189a93/Zoran-Marusic,True,2014-2015,MF,,SRB
Alen Mašović,/en/players/52b126b9/Alen-Masovic,True,2014-2022,FW,"Voždovac, Machida Zelvia, Borac Čačak, Čukarički",SRB
Erhan Mašović,/en/players/a396fb61/Erhan-Masovic,True,2015-2024,DF,"Bochum, Serbia, Čukarički, Horsens",SRB
Nina Matejić,/en/players/6a3235f9/Nina-Matejic,True,2021-2023,FW,Serbia,SRB
Aleksa Matić,/en/players/c66911bb/Aleksa-Matic,True,2022-2024,MF,Voždovac,SRB
Bojan Matić,/en/players/0f0e3f76/Bojan-Matic,True,2017-2023,FW,"Vojvodina, Mačva Šabac, Napredak Kruševac, Partizan, Atromitos, FC Seoul",SRB
Nemanja Matić,/en/players/eb7822d7/Nemanja-Matic,True,2009-2024,MF,"Lyon, Rennes, Manchester United, Chelsea, Benfica, Roma, Serbia, Vitesse",SRB
Bogdan Matijašević,/en/players/01e3dcdd/Bogdan-Matijasevic,True,2023-2024,GK,Mladost Lučani,SRB
Ognjen Mažić,/en/players/44cfe8cf/Ognjen-Mazic,True,2019-2021,DF,Spartak Subotica,SRB
Predrag Medić,/en/players/ac224ec8/Predrag-Medic,True,2017-2024,MF,"Voždovac, Radnik Surdulica",SRB
Zehrudin Mehmedović,/en/players/fd5e4f71/Zehrudin-Mehmedovic,True,2013-2017,MF,Čukarički,SRB
Dejan Meleg,/en/players/b5c1df6a/Dejan-Meleg,True,2012-2020,MF,"Vojvodina, Jong Ajax, Radnički Niš, Cambuur, Levadiakos, Red Star Belgrade",SRB
Stefan Melentijevic,/en/players/5b12042d/Stefan-Melentijevic,True,2022-2023,DF,FC Khimki,SRB
Aleksandar Mesarović,/en/players/75eef560/Aleksandar-Mesarovic,True,2017-2024,MF,"Radnički Niš, Vojvodina",SRB
Nemanja Mićević,/en/players/95c772dd/Nemanja-Micevic,True,2018-2024,DF,"Teplice, Mladost Lučani",SRB
Lazar Mićić,/en/players/07e3d322/Lazar-Micic,True,2023-2024,FW,Javor Ivanjica,SRB
Petar Mićin,/en/players/259deea9/Petar-Micin,True,2016-2024,MF,"Zorya Luhansk, Čukarički, Radnički Niš, Napredak Kruševac",SRB
Novak Mićović,/en/players/98cd66a3/Novak-Micovic,True,2018-2024,GK,"LA Galaxy, Čukarički",SRB
Dajana Mihajlović,/en/players/86c0f6c7/Dajana-Mihajlovic,True,2018-2021,GK,,SRB
Nemanja Mihajlović,/en/players/ad22007c/Nemanja-Mihajlovic,True,2012-2022,FW,"Rad, Partizan, Heerenveen, Spartak Subotica, Arka Gdynia",SRB
Pavle Mihajlović,/en/players/d0118ebd/Pavle-Mihajlovic,True,2023-2024,DF,Napredak Kruševac,SRB
Stefan Mihajlović,/en/players/2668ed4a/Stefan-Mihajlovic,True,2012-2023,FW,"Radnički Niš, Borac Čačak, Vojvodina, Rad, Shijiazhuang Ever Bright, Red Star",SRB
Marko Mijailović,/en/players/33c820d5/Marko-Mijailovic,True,2017-2024,DF,"Spartak Subotica, NK Olimpija Ljubljana, Mačva Šabac, Voždovac, Rad",SRB
Srđan Mijailović,/en/players/175bef1f/Srdjan-Mijailovic,True,2010-2024,MF,"Red Star, Serbia, Kayserispor, Čukarički, Krylia Sovetov Samara",SRB
Jovan Mijatović,/en/players/c54638ba/Jovan-Mijatovic,True,2022-2024,FW,"Red Star, New York City FC",SRB
Milica Mijatović,/en/players/8e84f10a/Milica-Mijatovic,True,2017-2025,"FW,MF","Fiorentina, Serbia, BK Häcken, Albi, Arna-Bjørnar, Melbourne City, Hammarby, AS Roma",SRB
Miloš Mijić,/en/players/958724e0/Milos-Mijic,True,2011-2024,MF,"Spartak Subotica, Novi Pazar, Metalac GM, OFK Beograd, Napredak Kruševac, Mladost Lučani, Donji Srem",SRB
Igor Miladinović,/en/players/3ba938b6/Igor-Miladinovic,True,2021-2024,MF,Čukarički,SRB
Ivan Miladinović,/en/players/5105522c/Ivan-Miladinovic,True,2015-2024,DF,"PFC Sochi, Jagodina, Radnički Niš, Nizhny Novgorod",SRB
Lazar Miladinović,/en/players/fa923735/Lazar-Miladinovic,True,2023-2024,DF,Napredak Kruševac,SRB
