Name,url,Active,Years Played,Position,Clubs Played,IOC
Néstor Albiach,/en/players/8887813b/Nestor-Albiach,True,2012-2024,FW,"NorthEast United, Dukla Prague, Numancia, Sparta Prague, Rayo Majadahonda",ESP
Raúl Albiol,/en/players/4bd414c1/Raul-Albiol,True,2003-2024,DF,"Villarreal, Napoli, Valencia, Real Madrid, Spain, Getafe",ESP
Aitor Albizu,/en/players/0c21106c/Aitor-Albizu,True,2023-2024,MF,Peña Deportiva,ESP
Paco Alcácer,/en/players/a7a9d95a/Paco-Alcacer,True,2011-2022,FW,"Valencia, Villarreal, Barcelona, Dortmund, Getafe, Spain",ESP
Pedro Alcalá,/en/players/ba71d071/Pedro-Alcala,True,2009-2024,DF,"Cartagena, Girona, Llagostera, Real Unión, Cádiz, Real Murcia",ESP
Aday Alcalde,/en/players/7c47a8a7/Aday-Alcalde,True,2023-2024,FW,Náxara,ESP
Jacobo Alcalde,/en/players/91ce13b4/Jacobo-Alcalde,True,2016-2024,FW,Ursaria,ESP
Luis Alcalde,/en/players/7c087862/Luis-Alcalde,True,2017-2024,MF,Recreativo,ESP
Edgar Alcañiz,/en/players/6e3326a5/Edgar-Alcaniz,True,2022-2024,MF,Levante,ESP
Thiago Alcántara,/en/players/77e84962/Thiago-Alcantara,True,2008-2024,MF,"Liverpool, Bayern Munich, Barcelona, Spain, Barcelona B",ESP
Rubén Alcaraz,/en/players/036bba5f/Ruben-Alcaraz,True,2014-2024,MF,"Cádiz, Valladolid, Girona, Almería, CE L'Hospitalet",ESP
Alex Alcira,/en/players/ddd14363/Alex-Alcira,True,2023-2024,DF,Villarreal B,ESP
Sergio Alcubilla,/en/players/291b8950/Sergio-Alcubilla,True,2023-2024,MF,Turégano,ESP
Aldasoro,/en/players/4405a57e/Aldasoro,True,2021-2024,MF,"Racing Santander, Real Sociedad B",ESP
Iker Alday,/en/players/13fef0ed/Iker-Alday,True,2022-2024,DF,Eibar,ESP
Laia Aleixandri,/en/players/31691fc9/Laia-Aleixandri,True,2017-2025,DF,"Manchester City, Spain, Atlético Madrid",ESP
Iván Alejo,/en/players/3d7e48ce/Ivan-Alejo,True,2016-2024,"FW,MF","Cádiz, Alcorcón, Eibar, Málaga, Getafe",ESP
Raúl Alejo,/en/players/65eb0b65/Raul-Alejo,True,2023-2024,GK,CD San Roque de Lepe,ESP
Pedro Alemañ,/en/players/f0ac14b1/Pedro-Aleman,True,2021-2024,MF,Sparta Rotterdam,ESP
Carles Aleñá,/en/players/6c811eb7/Carles-Alena,True,2015-2024,"FW,MF","Getafe, Barcelona, Barcelona B, Real Betis",ESP
Diego Alende,/en/players/9af88279/Diego-Alende,True,2014-2024,DF,"Andorra, Lugo, Celta Vigo",ESP
Jesús Alfaro,/en/players/d04b8fd9/Jesus-Alfaro,True,2014-2022,FW,"Barcelona B, Alcoyano, Zaragoza",ESP
Carlos Algarra,/en/players/6f46577c/Carlos-Algarra,True,2020-2024,MF,Beroe,ESP
Algisí,/en/players/407cb69a/Algisi,True,2023-2024,DF,Yeclano Deportivo,ESP
Ángel Algobia,/en/players/acc1aefa/Angel-Algobia,True,2018-2024,MF,"Levante, Getafe",ESP
María Alharilla Casado,/en/players/9581d587/Maria-Alharilla-Casado,True,2022-2024,FW,Levante,ESP
Víctor Aliaga,/en/players/e801fc5c/Victor-Aliaga,True,2023-2024,FW,Europa,ESP
Beñat Almandoz,/en/players/c7c7202e/Benat-Almandoz,True,2023-2024,DF,UD Logroñés,ESP
Alex Almansa,/en/players/fea5887c/Alex-Almansa,True,2023-2024,FW,Girona,ESP
Iker Almena,/en/players/0b32f721/Iker-Almena,True,2023-2024,FW,Girona,ESP
Gonzalo Almenara,/en/players/edc0ddea/Gonzalo-Almenara,True,2022-2024,DF,KMSK Deinze,ESP
