Name,url,Active,Years Played,Position,Clubs Played,IOC
Mykyta Bezuhlyi,/en/players/81355634/Mykyta-Bezuhlyi,True,2022-2024,DF,FK Metalist 1925 Kharkiv,UKR
Roman Bezus,/en/players/a0b730dc/Roman-Bezus,True,2008-2023,"FW,MF","Vorskla Poltava, Gent, Sint-Truiden, Dnipro Dnipropetrovsk, Dynamo Kyiv, Ukraine, AC Omonia",UKR
Stanislav Biblyk,/en/players/e0efb689/Stanislav-Biblyk,True,2019-2021,FW,FC Mariupol,UKR
Yevhen Bidenko,/en/players/486f8bf8/Yevhen-Bidenko,True,2023-2024,MF,FC Oberneuland,UKR
Oleksandr Bieliaiev,/en/players/a2975ac3/Oleksandr-Bieliaiev,True,2023-2024,MF,FC Oleksandriya,UKR
Stanislav Bilenkyi,/en/players/5d534387/Stanislav-Bilenkyi,True,2016-2019,FW,Olimpik Donetsk,UKR
Bohdan Biloshevskyi,/en/players/c0b9724e/Bohdan-Biloshevskyi,True,2019-2024,MF,"FC Oleksandriya, Chornomorets Odesa",UKR
Volodymyr Bilotserkovets,/en/players/7360aac9/Volodymyr-Bilotserkovets,True,2019-2021,DF,FK Inhulets,UKR
Kristian Bilovar,/en/players/b2c1af55/Kristian-Bilovar,True,2021-2024,DF,"Dynamo Kyiv, Chornomorets Odesa",UKR
Artem Bilyi,/en/players/3ed73fb7/Artem-Bilyi,True,2018-2020,MF,Vorskla Poltava,UKR
Maksym Bilyi,/en/players/0d1697f9/Maksym-Bilyi,True,2011-2023,DF,"Zorya Luhansk, Рух, Hajduk Split, FC Mariupol, Chornomorets Odesa",UKR
Oleh Bilyk,/en/players/faf05120/Oleh-Bilyk,True,2018-2024,GK,"Chornomorets Odesa, FC Oleksandriya, FK Inhulets",UKR
Andriy Bliznichenko,/en/players/0fe3745b/Andriy-Bliznichenko,True,2013-2024,MF,"Veres Rivne, Kardemir Karabükspor, Dnipro Dnipropetrovsk, FK Inhulets",UKR
Viktor Bliznichenko,/en/players/3ecc4ef5/Viktor-Bliznichenko,True,2022-2024,MF,"Kryvbas Kryvyi Rih, FK Inhulets",UKR
Maksym Bochan,/en/players/b55f1028/Maksym-Bochan,True,2023-2024,MF,Kaiserslautern U19,UKR
Roman Bodnia,/en/players/6c68381b/Roman-Bodnia,True,2021-2022,MF,,UKR
Demkov Bogdanovich,/en/players/1f270ac9/Demkov-Bogdanovich,True,2019-2020,MF,,UKR
Bytsenko Bohdan,/en/players/8e609864/Bytsenko-Bohdan,True,2023-2024,GK,FC Kolos Kovalivka,UKR
Andriy Bohdanov,/en/players/b774e187/Andriy-Bohdanov,True,2008-2024,MF,"FC Kolos Kovalivka, Arsenal Kyiv, Olimpik Donetsk, Desna Chernihiv, Arka Gdynia, Volyn Lutsk, Ergote",UKR
Dmytro Bohdanov,/en/players/2ef0ed4b/Dmytro-Bohdanov,True,2022-2024,MF,"Dresden U19, Dresden U17, Dresden",UKR
Yaroslav Bohunov,/en/players/599a2270/Yaroslav-Bohunov,True,2019-2023,"FW,MF",FC Lviv,UKR
Andrii Boiko,/en/players/83e38097/Andrii-Boiko,True,2023-2024,DF,FC Oleksandriya,UKR
Maksym Boiko,/en/players/eb8b04c5/Maksym-Boiko,True,2023-2024,MF,Рух,UKR
Vitalii Boiko,/en/players/8df37b5a/Vitalii-Boiko,True,2020-2024,MF,"FK LNZ-Lebedyn, FC Lviv, FK Mynai",UKR
Ivan Bokalo,/en/players/8c624804/Ivan-Bokalo,True,2022-2023,MF,,UKR
Anton Bol,/en/players/07af2284/Anton-Bol,True,2020-2024,DF,"Zorya Luhansk, Dynamo Kyiv",UKR
Serhiy Bolbat,/en/players/24b98f95/Serhiy-Bolbat,True,2013-2024,"DF,MF","FC Kolos Kovalivka, Shakhtar Donetsk, Lokeren, FC Mariupol, Metalist Kharkiv, Metalurh Donetsk, Desn",UKR
Valeriy Boldenkov,/en/players/0160ba21/Valeriy-Boldenkov,True,2015-2016,DF,,UKR
Valerii Bondar,/en/players/7713c72a/Valerii-Bondar,True,2018-2024,DF,"Shakhtar Donetsk, Ukraine",UKR
