Name,url,Active,Years Played,Position,Clubs Played,IOC
Benjamin Lundt,/en/players/abe9908a/Benjamin-Lundt,True,2019-2024,GK,"St. Louis City, Phoenix Rising, Louisville City",GER
Alexander Lungwitz,/en/players/97062f43/Alexander-Lungwitz,True,2016-2024,DF,"SC Freiburg II, Bayern Munich U19, Bayern Munich U17, Würzburger Kickers, Bayern Munich II",GER
Felix Luth,/en/players/4ce60f92/Felix-Luth,True,2023-2024,DF,Holstein Kiel U17,GER
Andreas Luthe,/en/players/7fe12375/Andreas-Luthe,True,2009-2024,GK,"Bochum, Kaiserslautern, Union Berlin, Augsburg",GER
Dennis Lütke-Frie,/en/players/d496e7ba/Dennis-Lutke-Frie,True,2018-2024,DF,"Dortmund II, Dortmund U17, Dortmund U19",GER
Joyce Luyeye-Nkula,/en/players/47b42cb5/Joyce-Luyeye-Nkula,True,2018-2022,FW,"Hannover 96 U17, Hannover 96 U19",GER
Arthur Lyska,/en/players/aa9b545e/Arthur-Lyska,True,2017-2024,GK,"Wehen Wiesbaden, Wehen Wiesbaden U19",GER
Farid Mabo Dibamba,/en/players/acf4ef27/Farid-Mabo-Dibamba,True,2021-2024,DF,"St Pauli U19, St Pauli U17",GER
Tim Maciejewski,/en/players/bfd522a6/Tim-Maciejewski,True,2017-2024,MF,"Sandhausen, Union Berlin U19, Union Berlin U17, SK Austria Klagenfurt",GER
Laurin Mack,/en/players/47bc6993/Laurin-Mack,True,2018-2024,GK,"SC Freiburg II, Freiburg U19, Freiburg U17",GER
Luca Mack,/en/players/81868f73/Luca-Mack,True,2016-2024,MF,"Újpest, Stuttgart U19, Stuttgart U17",GER
Janik Mäder,/en/players/3c907f6e/Janik-Mader,True,2018-2020,MF,Zwickau,GER
Stefan Maderer,/en/players/98e5ea8d/Stefan-Maderer,True,2014-2023,MF,SpVgg Bayreuth,GER
Yan Maennling,/en/players/e5a18b5e/Yan-Maennling,True,2022-2023,DF,Saarbrücken U17,GER
Finn Maethner,/en/players/732877e9/Finn-Maethner,True,2023-2024,FW,Werder Bremen U17,GER
Lina Magull,/en/players/3cd04ba1/Lina-Magull,True,2016-2025,"FW,MF","Bayern Munich, Internazionale, Germany, Freiburg",GER
Anas Mahjoubi,/en/players/2ee46601/Anas-Mahjoubi,True,2022-2024,DF,Dortmund U17,GER
Mohammad Mahmoud,/en/players/4907f205/Mohammad-Mahmoud,True,2021-2024,FW,"Bochum U19, Bochum U17",GER
Ena Mahmutovic,/en/players/a184766b/Ena-Mahmutovic,True,2019-2024,GK,MSV Duisburg,GER
Jeremy Mahn,/en/players/06dd94f0/Jeremy-Mahn,True,2023-2024,DF,Stuttgart U17,GER
Peer Mahncke,/en/players/a3d6ddbf/Peer-Mahncke,True,2018-2021,MF,"Niendorfer U19, Eimsbütteler U19",GER
Thieß Mahnel,/en/players/8354a812/Thiess-Mahnel,True,2023-2024,MF,St Pauli U19,GER
Franziska Mai,/en/players/915c9aa3/Franziska-Mai,True,2023-2024,FW,Nürnberg,GER
Nico Mai,/en/players/b00fdc80/Nico-Mai,True,2016-2021,DF,"Wolfsburg U19, Wolfsburg U17",GER
Sebastian Mai,/en/players/e855706c/Sebastian-Mai,True,2013-2024,"DF,FW","MSV Duisburg, Hallescher, Preußen Münster, Dresden",GER
Arne Maier,/en/players/ab700320/Arne-Maier,True,2016-2024,MF,"Augsburg, Hertha BSC, Hertha BSC U19, Arminia Bielefeld",GER
Leonie Maier,/en/players/bff94098/Leonie-Maier,True,2013-2024,DF,"Hoffenheim, Bayern Munich, Germany, Arsenal, Everton",GER
Loris Maier,/en/players/7cd9180d/Loris-Maier,True,2022-2023,FW,,GER
Marcello Maier,/en/players/9abfd05e/Marcello-Maier,True,2022-2024,DF,"Hoffenheim U17, Hoffenheim U19",GER
Philipp Maier,/en/players/d72d4eab/Philipp-Maier,True,2020-2024,MF,Ulm,GER
Ramona Maier,/en/players/7f2c8da2/Ramona-Maier,True,2022-2024,FW,Essen,GER
Robin Maier,/en/players/452b22bf/Robin-Maier,True,2022-2023,DF,Freiburg U17,GER
Sebastian Maier,/en/players/e8385ec4/Sebastian-Maier,True,2011-2024,MF,"Unterhaching, St. Pauli, Hannover 96, Bochum, 1860 Munich, Türkgücü München",GER
Alina Mailbeck,/en/players/fc577573/Alina-Mailbeck,True,2023-2024,MF,Nürnberg,GER
Samuele Mailer,/en/players/eeec3aa2/Samuele-Mailer,True,2021-2024,MF,"Nürnberg U19, Nürnberg U17",GER
Linton Maina,/en/players/e5d85da8/Linton-Maina,True,2016-2024,"FW,MF","Köln, Hannover 96, Hannover 96 U19",GER
Patrick Mainka,/en/players/dd9caa07/Patrick-Mainka,True,2013-2024,"DF,MF","Heidenheim, Werder Bremen II",GER
Jost Mairose,/en/players/3bd24c5a/Jost-Mairose,True,2022-2023,MF,,GER
Franz Maisel,/en/players/7ae1a267/Franz-Maisel,True,2021-2024,DF,"Carl Zeiss Jena U19, Carl Zeiss Jena U17",GER
Julius Maiwaldt,/en/players/81e57503/Julius-Maiwaldt,True,2021-2024,DF,"Werder Bremen U19, Werder Bremen U17",GER
Erik Majetschak,/en/players/156afd6f/Erik-Majetschak,True,2016-2024,"DF,MF","Erzgebirge Aue, RB Leipzig U19, RB Leipzig U17",GER
Blessing Makanda,/en/players/9c30c7bc/Blessing-Makanda,True,2021-2024,FW,"Hoffenheim U19, Hoffenheim U17",GER
Malek El Mala,/en/players/5c33fdb2/Malek-El-Mala,True,2023-2024,FW,"Viktoria Köln U19, Viktoria Köln",GER
Said El Mala,/en/players/9db21d7f/Said-El-Mala,True,2023-2024,FW,"Viktoria Köln U19, Viktoria Köln",GER
Aris Malaj,/en/players/6d0125ae/Aris-Malaj,True,2022-2024,MF,"Sandhausen U19, Astoria Walldorf U17",GER
Kevin Malaka,/en/players/ea6d5314/Kevin-Malaka,True,2022-2024,GK,"Hoffenheim U17, Hoffenheim U19",GER
Julian Malburg,/en/players/b56ac3d7/Julian-Malburg,True,2022-2024,MF,"Mainz 05 U19, Kaiserslautern U19, Mainz 05 U17",GER
Abdul Malik Yılmaz,/en/players/4144a104/Abdul-Malik-Yilmaz,True,2021-2024,MF,"Köln U19, Köln U17",GER
Louis Malina,/en/players/6ccb5c84/Louis-Malina,True,2020-2021,FW,Magdeburg U19,GER
Jesper Maljojoki,/en/players/25bc13fd/Jesper-Maljojoki,True,2017-2018,DF,Unterhaching U17,GER
Maurice Malone,/en/players/0674ebf1/Maurice-Malone,True,2016-2024,"FW,MF","Basel, Augsburg U19, Wehen Wiesbaden, Augsburg U17, Wolfsberger AC, Heidenheim",GER
