Name,url,Active,Years Played,Position,Clubs Played,IOC
Kyle Benedictus,/en/players/59a68dac/Kyle-Benedictus,True,2008-2024,DF,"Dunfermline Athletic, Raith Rovers, Dundee, Alloa Athletic",SCO
Lucas Berry,/en/players/7168b850/Lucas-Berry,True,2020-2021,MF,,SCO
Keir Bertie,/en/players/0a221d5d/Keir-Bertie,True,2023-2024,DF,Dundee United,SCO
Botti Biabi,/en/players/6109c856/Botti-Biabi,True,2014-2020,FW,"Falkirk, Swansea City U23, Ebbsfleet United, Hamilton Academical, Macclesfield Town",SCO
Callum Biggar,/en/players/e611cbc6/Callum-Biggar,True,2022-2023,MF,,SCO
Kinlay Bilham,/en/players/b9380689/Kinlay-Bilham,True,2022-2023,DF,,SCO
Andrew Black,/en/players/4f2ab9e3/Andrew-Black,True,2014-2016,MF,,SCO
Ben Black,/en/players/bd11fc01/Ben-Black,True,2022-2023,FW,,SCO
Cammy Blacklock,/en/players/58f20b61/Cammy-Blacklock,True,2020-2021,MF,,SCO
Ryan Blair,/en/players/f84ad5a6/Ryan-Blair,True,2014-2019,MF,"Falkirk, Dunfermline Athletic, Swansea City U23",SCO
Jack Blake,/en/players/68cd160e/Jack-Blake,True,2013-2024,MF,"Indy Eleven, Real Monarchs, San Diego Loyal, Jacksonville Armada, Minnesota United, Tampa Bay Rowdie",SCO
Jacob Blaney,/en/players/e5f9a1e8/Jacob-Blaney,True,2021-2024,MF,Hibernian,SCO
Sonny Blu Lo-Everton,/en/players/1346e497/Sonny-Blu-Lo-Everton,True,2020-2024,MF,"Yeovil Town, Wealdstone FC, Derby County U21",SCO
Cameron Blues,/en/players/428c1797/Cameron-Blues,True,2015-2024,MF,Greenock Morton,SCO
Arran Bone,/en/players/638833fa/Arran-Bone,True,2023-2024,DF,Motherwell,SCO
Callum Booth,/en/players/7ec35c14/Callum-Booth,True,2010-2024,"DF,MF","St Johnstone, Partick Thistle, Hibernian, Raith Rovers, Livingston, Dundee United",SCO
Aidan Borland,/en/players/634c58a6/Aidan-Borland,True,2023-2024,MF,Aston Villa U21,SCO
Ibane Bowat,/en/players/5186c2de/Ibane-Bowat,True,2020-2024,DF,"Hartberg, Den Bosch, Fulham U21, Fulham U23",SCO
Kieron Bowie,/en/players/6dd87204/Kieron-Bowie,True,2021-2024,"FW,MF","Northampton Town, Fulham U23",SCO
Fletcher Boyd,/en/players/07279527/Fletcher-Boyd,True,2023-2024,MF,Aberdeen,SCO
Steven Boyd,/en/players/417c819d/Steven-Boyd,True,2015-2024,"FW,MF","Greenock Morton, Hamilton Academical, Inverness CT, Livingston",SCO
Steven Bradley,/en/players/2e3329f3/Steven-Bradley,True,2020-2024,MF,"Livingston, Ayr United",SCO
Jamie Brandon,/en/players/47d088cd/Jamie-Brandon,True,2016-2024,"DF,MF","Livingston, Heart of Midlothian, Greenock Morton",SCO
