Name,url,Active,Years Played,Position,Clubs Played,IOC
Mischa Beeli,/en/players/5f3016be/Mischa-Beeli,True,2020-2024,DF,St. Gallen,SUI
Nassim Ben Khalifa,/en/players/b5902f7f/Nassim-Ben-Khalifa,True,2008-2023,"FW,MF","Grasshopper, Sanfrecce Hiroshima, St. Gallen, Lausanne-Sport, Young Boys, Eskişehirspor, Mechelen",SUI
Iman Beney,/en/players/b7906363/Iman-Beney,True,2022-2023,FW,BSC YB Frauen,SUI
Roméo Beney,/en/players/94632f95/Romeo-Beney,True,2022-2024,FW,Basel,SUI
Loris Benito,/en/players/f5b6fb78/Loris-Benito,True,2009-2024,DF,"Young Boys, Switzerland, Bordeaux, Zürich, Sion, Aarau, Benfica",SUI
Noemi Benz,/en/players/ab257885/Noemi-Benz,True,2020-2024,GK,"Zürich, Switzerland, FC Aarau",SUI
Serif Berbic,/en/players/c05793f0/Serif-Berbic,True,2022-2024,GK,Lugano,SUI
Théo Berdayes,/en/players/80097392/Theo-Berdayes,True,2020-2022,FW,Sion,SUI
Vanessa Bernauer,/en/players/ec652617/Vanessa-Bernauer,True,2015-2024,MF,"Zürich, AS Roma, Switzerland, Wolfsburg",SUI
Karin Bernet,/en/players/895c5414/Karin-Bernet,True,2016-2024,MF,"St. Gallen-Staad, Zürich",SUI
Evan Berrut,/en/players/e945e056/Evan-Berrut,True,2022-2023,MF,,SUI
Leonardo Bertone,/en/players/2e06f387/Leonardo-Bertone,True,2011-2022,MF,"Young Boys, Waasland-Beveren, FC Cincinnati, Thun",SUI
Alessio Besio,/en/players/f36dc0a4/Alessio-Besio,True,2020-2024,FW,"SC Freiburg II, St. Gallen",SUI
Joel Bichsel,/en/players/0fb7e559/Joel-Bichsel,True,2022-2024,DF,SC Freiburg II,SUI
Alena Bienz,/en/players/14f0f5e7/Alena-Bienz,True,2022-2025,MF,"Köln, Switzerland",SUI
Céline Bigler,/en/players/e17e1d83/Celine-Bigler,True,2023-2024,MF,Thun Berner-Oberland,SUI
Kim Bircher,/en/players/6c14eef9/Kim-Bircher,True,2022-2023,GK,,SUI
Uran Bislimi,/en/players/f7760f0d/Uran-Bislimi,True,2022-2024,MF,"Lugano, Switzerland",SUI
Noah Blasucci,/en/players/738b442c/Noah-Blasucci,True,2017-2023,FW,,SUI
Michelle Blöchlinger,/en/players/eac3df82/Michelle-Blochlinger,True,2021-2024,DF,"Freiburg, Grasshopper",SUI
Lewin Blum,/en/players/c8ccc39e/Lewin-Blum,True,2021-2024,DF,Young Boys,SUI
Luisa Blumenthal,/en/players/97f87130/Luisa-Blumenthal,True,2022-2024,MF,Zulte Waregem,SUI
Tanja Bodenmann,/en/players/fba57ba9/Tanja-Bodenmann,True,2021-2023,FW,FC Yverdon,SUI
Mihailo Bogicevic,/en/players/cf21165c/Mihailo-Bogicevic,True,2021-2024,DF,Spartak Subotica,SUI
Nadine Böhi,/en/players/97b71cef/Nadine-Bohi,True,2021-2025,GK,St. Gallen-Staad,SUI
Liam Bollati,/en/players/1be8d63d/Liam-Bollati,True,2023-2024,DF,Grasshopper,SUI
Kim Bollmann,/en/players/78687b17/Kim-Bollmann,True,2021-2024,GK,St. Gallen-Staad,SUI
Winsley Boteli,/en/players/6198ee34/Winsley-Boteli,True,2022-2024,FW,"Mönchengladbach U19, Mönchengladbach U17",SUI
Mattia Bottani,/en/players/cd0ecf81/Mattia-Bottani,True,2015-2024,"FW,MF",Lugano,SUI
Yanick Brecher,/en/players/6115fddd/Yanick-Brecher,True,2012-2024,GK,Zürich,SUI
Stephanie Brecht,/en/players/e33d1987/Stephanie-Brecht,True,2021-2024,FW,St. Gallen-Staad,SUI
Luuk Breedijk,/en/players/b4e102f4/Luuk-Breedijk,True,2022-2024,MF,Luzern,SUI
Bettina Brülhart,/en/players/5d75195d/Bettina-Brulhart,True,2021-2024,DF,FC Luzern Frauen,SUI
Cédric Brunner,/en/players/f0a37d36/Cedric-Brunner,True,2014-2024,"DF,MF","Schalke 04, Arminia Bielefeld, Zürich",SUI
Jana Brunner,/en/players/f73a56d2/Jana-Brunner,True,2017-2024,DF,"St. Gallen-Staad, Switzerland",SUI
Kevin Bua,/en/players/a4f642c5/Kevin-Bua,True,2015-2023,MF,"Basel, Sion, Zürich, Leganés",SUI
Damien Buchard,/en/players/af370c98/Damien-Buchard,True,2017-2021,GK,,SUI
Roman Buess,/en/players/e7ecff32/Roman-Buess,True,2011-2024,"FW,MF","FC Winterthur, St. Gallen, Thun",SUI
Oliver Buff,/en/players/7cc49159/Oliver-Buff,True,2009-2023,MF,"Zürich, Zaragoza, Žalgiris",SUI
Luana Bühler,/en/players/c539c765/Luana-Buhler,True,2017-2025,DF,"Switzerland, Tottenham Hotspur, Hoffenheim",SUI
Mario Bühler,/en/players/dd22239a/Mario-Buhler,True,2010-2017,DF,"Vaduz, Luzern",SUI
Orges Bunjaku,/en/players/b0a84aa7/Orges-Bunjaku,True,2019-2023,MF,"Grenoble Foot, Basel",SUI
Marco Burch,/en/players/1629ce68/Marco-Burch,True,2019-2024,DF,"Luzern, Legia Warsaw",SUI
Luana Bürge,/en/players/13944781/Luana-Burge,True,2023-2024,DF,Zürich,SUI
Nicolas Bürgy,/en/players/a4851d9e/Nicolas-Burgy,True,2014-2024,DF,"Viborg, Young Boys, Thun",SUI
Nishan Burkart,/en/players/c59b67ed/Nishan-Burkart,True,2017-2024,MF,"FC Winterthur, SC Freiburg II, Manchester United U23",SUI
Alana Burkhart,/en/players/51659e33/Alana-Burkhart,True,2023-2024,DF,Thun Berner-Oberland,SUI
Marco Bürki,/en/players/794e2914/Marco-Burki,True,2011-2021,DF,"Thun, Zulte Waregem, Young Boys, Luzern",SUI
Roman Bürki,/en/players/9d12e142/Roman-Burki,True,2010-2024,GK,"St. Louis City, Borussia Dortmund, Grasshopper, Freiburg, Switzerland, Young Boys",SUI
Saskia Bürki,/en/players/86f8b540/Saskia-Burki,True,2021-2024,GK,"Grasshopper, BSC YB Frauen",SUI
Tyara Buser,/en/players/c3c43d30/Tyara-Buser,True,2019-2024,DF,"Basel, Freiburg",SUI
Livia Busin,/en/players/b266863f/Livia-Busin,True,2023-2024,MF,FC Rapperswil-Jona,SUI
Viola Calligaris,/en/players/bf12363c/Viola-Calligaris,True,2017-2025,"DF,FW","Switzerland, Juventus, Paris Saint-Germain, Levante",SUI
Francesca Calò,/en/players/81a8c2bc/Francesca-Calo,True,2018-2024,DF,"Vorderland, Köln, Switzerland, Werder Bremen",SUI
Thomas Castella,/en/players/28b04930/Thomas-Castella,True,2016-2024,GK,Lausanne-Sport,SUI
Miguel Castroman,/en/players/b2110c41/Miguel-Castroman,True,2014-2020,MF,"Thun, Young Boys",SUI
Dany Cattin,/en/players/654683b8/Dany-Cattin,True,2019-2020,DF,,SUI
Marin Cavar,/en/players/9303c018/Marin-Cavar,True,2019-2020,DF,,SUI
Fabrizio Cavegn,/en/players/8e407c15/Fabrizio-Cavegn,True,2022-2023,MF,St. Gallen,SUI
Sina Cavelti,/en/players/fab08000/Sina-Cavelti,True,2021-2024,FW,FC Luzern Frauen,SUI
Carmine Chiappetta,/en/players/8e474534/Carmine-Chiappetta,True,2020-2024,FW,"FC Winterthur, Basel",SUI
Liam Chipperfield,/en/players/ce78407a/Liam-Chipperfield,True,2021-2023,MF,Basel,SUI
Aline Christen,/en/players/6bf2a11c/Aline-Christen,True,2021-2024,DF,St. Gallen-Staad,SUI
Leana Claude,/en/players/faba5fc0/Leana-Claude,True,2022-2024,GK,BSC YB Frauen,SUI
Logan Clément,/en/players/44f033e4/Logan-Clement,True,2021-2022,FW,,SUI
Jasmin Colombo,/en/players/add5649a/Jasmin-Colombo,True,2021-2024,DF,St. Gallen-Staad,SUI
Eray Cömert,/en/players/15937e17/Eray-Comert,True,2015-2024,DF,"Nantes, Switzerland, Basel, Valencia, Lugano, Sion",SUI
Thibault Corbaz,/en/players/c3fb5475/Thibault-Corbaz,True,2018-2024,MF,"FC Winterthur, Neuchâtel Xam",SUI
Yannick Cotter,/en/players/03c4b2ce/Yannick-Cotter,True,2019-2024,FW,Yverdon-Sport,SUI
Ana-Maria Crnogorčević,/en/players/d3c316a3/Ana-Maria-Crnogorcevic,True,2015-2025,"FW,MF","Switzerland, Atlético Madrid, Barcelona, Portland Thorns FC, Eintracht Frankfurt Women",SUI
Sadin Crnovrsanin,/en/players/6cc0f7d4/Sadin-Crnovrsanin,True,2023-2024,DF,Young Boys,SUI
Aurélie Csillag,/en/players/9d59b4de/Aurelie-Csillag,True,2021-2025,FW,"Basel, Switzerland, Grasshopper",SUI
Stéphane Cueni,/en/players/3618f091/Stephane-Cueni,True,2020-2021,MF,Lausanne-Sport,SUI
Olivier Custodio,/en/players/2f8e326a/Olivier-Custodio,True,2013-2024,"DF,MF","Lausanne-Sport, Lugano, Luzern",SUI
Carina Da Costa,/en/players/ccefdb74/Carina-Da-Costa,True,2021-2023,MF,FC Yverdon,SUI
Adler Da Silva,/en/players/dce5a822/Adler-Da-Silva,True,2021-2022,MF,ŠK Slovan Bratislava,SUI
