Name,url,Active,Years Played,Position,Clubs Played,IOC
Mehdi Admi,/en/players/b46a9198/Mehdi-Admi,True,2021-2023,MF,ESA Linas-Montlhéry,FRA
Leygley Adou,/en/players/b5233f4a/Leygley-Adou,True,2019-2021,DF,,FRA
Luc Adoul,/en/players/ca3bc8ce/Luc-Adoul,True,2021-2024,FW,Cosne USC Football,FRA
Loïc Affamah,/en/players/f1a29ddc/Loic-Affamah,True,2022-2024,FW,Nantes,FRA
Kévin Afougou,/en/players/c75ff78c/Kevin-Afougou,True,2012-2024,DF,"Evian, Laval, Châteauroux, Orléans",FRA
Laura Agard,/en/players/1694020f/Laura-Agard,True,2017-2024,DF,"Fiorentina, Milan, Montpellier",FRA
Alan Agbadouma,/en/players/31cde26d/Alan-Agbadouma,True,2021-2022,FW,,FRA
Mohamed Aggoun,/en/players/089bdca8/Mohamed-Aggoun,True,2021-2022,DF,,FRA
Léonard Aggoune,/en/players/2a387dcf/Leonard-Aggoune,True,2018-2024,GK,FC Rouen,FRA
Théo Agius,/en/players/695c2494/Theo-Agius,True,2023-2024,DF,ASPTT Dijon,FRA
Masallah Aglar,/en/players/cc0ea2c2/Masallah-Aglar,True,2017-2023,FW,US Colomiers Football,FRA
Lucien Agoume,/en/players/8bc8829a/Lucien-Agoume,True,2018-2024,MF,"Sevilla, Internazionale, Brest, Sochaux, Troyes, Spezia",FRA
Koca Agro,/en/players/4ee7b62a/Koca-Agro,True,2022-2024,GK,RCFF Colombes 92,FRA
Maxime Aguad,/en/players/184a9cfd/Maxime-Aguad,True,2018-2022,DF,"Cannes, Trélissac FC",FRA
Bilel Agueni,/en/players/ea64bb65/Bilel-Agueni,True,2013-2024,MF,"Hyères FC, Aubagne FC, Istres",FRA
Ruben Aguilar,/en/players/3dd738a1/Ruben-Aguilar,True,2014-2024,"DF,MF","Monaco, Lens, Auxerre, Montpellier",FRA
Anis Aguir,/en/players/482693a3/Anis-Aguir,True,2020-2024,MF,US Feurs,FRA
Anli Ahamada,/en/players/54a7f7c3/Anli-Ahamada,True,2017-2023,DF,Avoine Olympique CC,FRA
Imbad Ahamada,/en/players/e439cb7a/Imbad-Ahamada,True,2014-2022,GK,,FRA
Naouirou Ahamada,/en/players/a6c58494/Naouirou-Ahamada,True,2020-2024,MF,"Crystal Palace, Stuttgart",FRA
Nassoidillahi Ahamada,/en/players/a735ef6a/Nassoidillahi-Ahamada,True,2022-2024,DF,AS Vitré,FRA
Yassine Ahammout,/en/players/cf6a31d5/Yassine-Ahammout,True,2020-2023,FW,,FRA
Khalid Ahaytar,/en/players/ebd29c1e/Khalid-Ahaytar,True,2019-2022,DF,RCO Agde,FRA
Théo Ahile,/en/players/5ae0edd6/Theo-Ahile,True,2021-2022,FW,,FRA
Messina Ahmadou,/en/players/0861a182/Messina-Ahmadou,True,2023-2024,DF,Lille,FRA
