Name,url,Active,Years Played,Position,Clubs Played,IOC
Burak Albayrak,/en/players/4cf01812/Burak-Albayrak,True,2018-2021,DF,Rizespor,TUR
Eren Albayrak,/en/players/b02a8b91/Eren-Albayrak,True,2007-2022,"DF,MF","Çaykur Rizespor, Antalyaspor, İstanbul Başakşehir, Konyaspor, Júbilo Iwata, Bursaspor",TUR
Mehmet Albayrak,/en/players/5076fdad/Mehmet-Albayrak,True,2021-2024,MF,Sivasspor,TUR
Mücahit Albayrak,/en/players/4eedec0c/Mucahit-Albayrak,True,2020-2021,DF,Erzurum BB,TUR
Doğan Alemdar,/en/players/9e17ccff/Dogan-Alemdar,True,2018-2024,GK,"Troyes, Kayserispor, Rennes",TUR
Mehmet Ali Büyüksayar,/en/players/faf82111/Mehmet-Ali-Buyuksayar,True,2022-2024,FW,Konyaspor,TUR
Hasan Ali Kaldırım,/en/players/edd38473/Hasan-Ali-Kaldirim,True,2009-2024,DF,"Kayserispor, Fenerbahçe, İstanbul Başakşehir, Türkiye, Ankaragücü",TUR
Samed Ali Kaya,/en/players/6e58af31/Samed-Ali-Kaya,True,2015-2019,FW,"BB Erzurumspor, Göztepe",TUR
Muhammet Ali Özbaskıcı,/en/players/31bba076/Muhammet-Ali-Ozbaskici,True,2023-2024,MF,Samsunspor,TUR
Ömer Ali Şahiner,/en/players/2b59d76f/Omer-Ali-Sahiner,True,2013-2024,"DF,MF","İstanbul Başakşehir, Konyaspor",TUR
Selçuk Alibaz,/en/players/d52d969f/Selcuk-Alibaz,True,2008-2018,MF,"Karlsruher, Jahn Regensburg, Fortuna Köln, Hansa Rostock, Erzgebirge Aue, Konyaspor",TUR
Barış Alıcı,/en/players/41b9d0c0/Baris-Alici,True,2018-2021,MF,"Westerlo, Fenerbahçe, Rizespor, Yeni Malatyaspor",TUR
Kerim Alıcı,/en/players/50df83f7/Kerim-Alici,True,2020-2024,DF,"Hatayspor, Göztepe",TUR
Ziya Alkurt,/en/players/4fa66b08/Ziya-Alkurt,True,2019-2020,FW,Kayserispor,TUR
Barış Alper Yılmaz,/en/players/414b2ce4/Baris-Alper-Yilmaz,True,2021-2024,MF,"Galatasaray, Türkiye",TUR
Gökhan Alsan,/en/players/935b15ff/Gokhan-Alsan,True,2013-2020,MF,,TUR
Taha Altıkardeş,/en/players/3871f0ee/Taha-Altikardes,True,2021-2023,MF,Trabzonspor,TUR
Mahmut Altınkaya,/en/players/aa649de1/Mahmut-Altinkaya,True,2018-2020,MF,,TUR
Batuhan Altıntaş,/en/players/362269ee/Batuhan-Altintas,True,2012-2018,FW,"Kasımpaşa, Bursaspor, Yeni Malatyaspor",TUR
Hüseyin Altıntaş,/en/players/3743f925/Huseyin-Altintas,True,2019-2021,GK,Denizlispor,TUR
Burak Altıparmak,/en/players/7f47e31f/Burak-Altiparmak,True,2015-2016,MF,Magdeburg,TUR
Hüseyin Altuğ Taş,/en/players/f84d1a39/Huseyin-Altug-Tas,True,2014-2016,"FW,MF",İstanbul Başakşehir,TUR
Metehan Altunbaş,/en/players/1a915382/Metehan-Altunbas,True,2020-2021,FW,LASK,TUR
Erkan Anapa,/en/players/9de0787b/Erkan-Anapa,True,2022-2023,GK,,TUR
Seyfettin Anıl Yaşar,/en/players/214eb160/Seyfettin-Anil-Yasar,True,2021-2024,DF,Rizespor,TUR
Taylan Antalyalı,/en/players/4374d81c/Taylan-Antalyali,True,2014-2024,MF,"Samsunspor, Galatasaray, BB Erzurumspor, Ankaragücü, Türkiye",TUR
Alp Arda,/en/players/a2d7b568/Alp-Arda,True,2022-2024,GK,İstanbulspor,TUR
Efe Arda Koyuncu,/en/players/82e0f17c/Efe-Arda-Koyuncu,True,2021-2023,DF,,TUR
Derya Arhan,/en/players/ce2af083/Derya-Arhan,True,2019-2025,DF,Türkiye,TUR
Muhammed Arikan,/en/players/7a18f307/Muhammed-Arikan,True,2020-2024,MF,Kayserispor,TUR
Hakan Arslan,/en/players/2429a3ec/Hakan-Arslan,True,2014-2024,"DF,MF",Sivasspor,TUR
Işık Arslan,/en/players/524f20c8/Isik-Arslan,True,2019-2022,DF,,TUR
Muhammet Arslantaş,/en/players/19c8b5d1/Muhammet-Arslantas,True,2019-2023,FW,İstanbul Başakşehir,TUR
Batuhan Artarslan,/en/players/cdf75ae5/Batuhan-Artarslan,True,2017-2019,MF,Trabzonspor,TUR
Serkan Asan,/en/players/ee47f156/Serkan-Asan,True,2019-2024,DF,"Pendikspor, Trabzonspor",TUR
Berkay Aslan,/en/players/d3abd54c/Berkay-Aslan,True,2021-2024,MF,"Augsburg U17, Augsburg U19",TUR
Kerem Atakan Kesgin,/en/players/b75a36e9/Kerem-Atakan-Kesgin,True,2017-2024,MF,"Sivasspor, Beşiktaş, Fatih Karagümrük, Göztepe",TUR
Emircan Ataş,/en/players/128142dd/Emircan-Atas,True,2021-2022,DF,,TUR
Eray Ataseven,/en/players/06b2765c/Eray-Ataseven,True,2011-2019,MF,"Akhisar Belediyespor, Balıkesirspor",TUR
Yusuf Avcılar,/en/players/4b900398/Yusuf-Avcilar,True,2018-2019,DF,,TUR
Fahri Ay,/en/players/a0b62e11/Fahri-Ay,True,2023-2024,MF,Beşiktaş,TUR
Selim Ay,/en/players/63a60d73/Selim-Ay,True,2013-2022,DF,"Konyaspor, Rizespor",TUR
Taha Ayan,/en/players/def38d66/Taha-Ayan,True,2015-2017,GK,,TUR
Hasan Ayaroğlu,/en/players/2cef8f30/Hasan-Ayaroglu,True,2011-2021,"FW,MF","Denizlispor, Alanyaspor",TUR
Mert Aydeniz,/en/players/1647d0d8/Mert-Aydeniz,True,2018-2019,MF,,TUR
Fatih Aydın,/en/players/6bc67fd6/Fatih-Aydin,True,2010-2022,MF,,TUR
Oğuz Aydın,/en/players/a7b98226/Oguz-Aydin,True,2021-2024,MF,"Alanyaspor, Türkiye",TUR
Okan Aydın,/en/players/5d52c56b/Okan-Aydin,True,2012-2023,"FW,MF","Rot-Weiß Erfurt, Hartberg, Chemnitzer FC, Bayer Leverkusen",TUR
Oktay Aydin,/en/players/008e65da/Oktay-Aydin,True,2015-2016,MF,,TUR
Recep Aydın,/en/players/eb6819fb/Recep-Aydin,True,2008-2015,"FW,MF",Konyaspor,TUR
Taylan Aydın,/en/players/2b3d88d9/Taylan-Aydin,True,2022-2024,DF,Kasımpaşa,TUR
Emre Aydinel,/en/players/a3470633/Emre-Aydinel,True,2016-2022,"FW,MF","Dortmund U19, Dortmund U17",TUR
Bora Aydinlik,/en/players/5bbd2aa9/Bora-Aydinlik,True,2021-2022,MF,,TUR
Emirhan Aydoğan,/en/players/f3171ee6/Emirhan-Aydogan,True,2015-2022,MF,Bursaspor,TUR
Gökimen Aydoğdu,/en/players/c64531e5/Gokimen-Aydogdu,True,2018-2019,MF,,TUR
Soner Aydoğdu,/en/players/d1d72821/Soner-Aydogdu,True,2008-2024,MF,"Samsunspor, Göztepe, Akhisar Belediyespor, Gençlerbirliği, Trabzonspor, İstanbul Başakşehir, Antalya",TUR
Berkay Aydoğmuş,/en/players/29791b7f/Berkay-Aydogmus,True,2022-2024,MF,İstanbul Başakşehir,TUR
Yavuz Aygün,/en/players/5a55c7a5/Yavuz-Aygun,True,2015-2024,GK,Alanyaspor,TUR
Kaan Ayhan,/en/players/2200181e/Kaan-Ayhan,True,2013-2024,"DF,MF","Türkiye, Galatasaray, Fortuna Düsseldorf, Sassuolo, Schalke 04",TUR
Mertcan Ayhan,/en/players/c3e144d1/Mertcan-Ayhan,True,2022-2024,DF,"Schalke 04 U19, Schalke 04 U17",TUR
Onur Ayık,/en/players/a637251f/Onur-Ayik,True,2009-2023,"FW,MF","Akhisar Belediyespor, Werder Bremen II, Ümraniyespor, Elazığspor, Kardemir Karabükspor, Werder Breme",TUR
Sakıb Aytaç,/en/players/2d5c3c04/Sakib-Aytac,True,2015-2022,DF,"Antalyaspor, Yeni Malatyaspor, Denizlispor, Kasımpaşa, Kayserispor",TUR
Embiya Ayyıldız,/en/players/d549c22f/Embiya-Ayyildiz,True,2020-2021,FW,Ankaragücü,TUR
Serdar Aziz,/en/players/8e34b9f5/Serdar-Aziz,True,2008-2024,DF,"Fenerbahçe, Bursaspor, Galatasaray, Türkiye",TUR
Alperen Babacan,/en/players/01787330/Alperen-Babacan,True,2017-2021,DF,,TUR
Atalay Babacan,/en/players/2e1ca4a1/Atalay-Babacan,True,2017-2022,MF,Galatasaray,TUR
Volkan Babacan,/en/players/6e905b8d/Volkan-Babacan,True,2008-2024,GK,"İstanbul Başakşehir, Türkiye, Fenerbahçe, Manisaspor, Kayserispor",TUR
Ahmet Bahçıvan,/en/players/594621ce/Ahmet-Bahcivan,True,2016-2017,MF,Adanaspor,TUR
Göktuğ Bakırbaş,/en/players/cf619b98/Goktug-Bakirbas,True,2018-2021,GK,"Göztepe, Erzurum BB",TUR
Sinan Bakış,/en/players/5d613204/Sinan-Bakis,True,2013-2024,FW,"Zaragoza, Heracles Almelo, Admira Wacker Mödling, Andorra, Kayserispor, Bursaspor",TUR
Bünyamin Balcı,/en/players/7d7b3e47/Bunyamin-Balci,True,2019-2024,"DF,MF",Antalyaspor,TUR
Muhammed Balcılar,/en/players/d2413c9b/Muhammed-Balcilar,True,2014-2016,FW,,TUR
Yusuf Balcıoğlu,/en/players/46e973fb/Yusuf-Balcioglu,True,2014-2015,GK,,TUR
Metehan Baltacı,/en/players/601a0704/Metehan-Baltaci,True,2022-2023,DF,,TUR
Yusuf Barasi,/en/players/5c0466ba/Yusuf-Barasi,True,2019-2024,FW,"Jong AZ, Adana Demirspor, AZ Alkmaar",TUR
